id,Long,Lat,HH,HH_std,HH_min,HH_max,HH_p25,HH_p50,HH_p75,HH_contrast,HH_dissimilarity,HH_homogeneity,HH_energy,HH_correlation,HV,HV_std,HV_min,HV_max,HV_p25,HV_p50,HV_p75,HV_contrast,HV_dissimilarity,HV_homogeneity,HV_energy,HV_correlation,VV,VV_std,VV_min,VV_max,VV_p25,VV_p50,VV_p75,VV_contrast,VV_dissimilarity,VV_homogeneity,VV_energy,VV_correlation,VH,VH_std,VH_min,VH_max,VH_p25,VH_p50,VH_p75,VH_contrast,VH_dissimilarity,VH_homogeneity,VH_energy,VH_correlation,HHHVRatio,HHVVRatio,HVVVRatio,VHHVRatio,RVI,Health,Tier
1,102.6672952,2.745768554,-9.034181912740072,2.5682301385064448,-14.238729476928711,-4.580194473266602,-12.41041088104248,-10.917004585266113,-7.834494113922119,41.574404761904816,4.423611111111116,0.268511727319584,0.13436969463441803,0.6943626126779054,-17.968207359313965,2.4843933885233063,-21.94754981994629,-12.689828872680664,-20.1976318359375,-18.150236129760742,-15.791871070861816,30.793650793650823,4.043650793650796,0.25668340936731027,0.1391477558658143,0.764802031724847,-11.897533946567112,1.8711457316033244,-14.844429969787598,-8.178001403808594,-12.956439971923828,-12.048995018005371,-9.518057823181152,45.14186507936513,4.9176587301587364,0.20944223255428263,0.12914152597502454,0.692511184924409,-18.284831788804794,2.443270478856008,-22.98921775817871,-14.07916259765625,-20.024532318115234,-18.905622482299805,-15.589664459228516,31.7619047619048,4.230158730158735,0.2364729129639012,0.13283347579261676,0.7626131839942152,8.934025446573893,2.8633520338270397,-6.070673412746853,-0.3166244294908296,0.5767880631428521,Healthy,0
2,102.6672986,2.745832022,-8.056539535522461,2.423970866361136,-12.98031997680664,-4.580194473266602,-11.80124568939209,-8.853354454040527,-7.41522741317749,49.91468253968261,5.085317460317467,0.20257586579155393,0.12383698018283971,0.6647217286882271,-16.417972352769638,2.158867447757532,-21.7581844329834,-13.374399185180664,-18.99651336669922,-16.51461410522461,-15.730116844177246,34.0089285714286,4.185515873015875,0.2541493496042507,0.13521140246981966,0.7080760385104858,-10.45943980746799,1.9991585621669905,-14.844429969787598,-8.178001403808594,-12.592080116271973,-9.816025733947754,-9.036087989807129,41.8055555555556,4.75198412698413,0.21334210846884546,0.12777360304044372,0.7392685362627931,-17.15330441792806,2.258985309550157,-22.289936065673828,-14.07916259765625,-19.373302459716797,-16.21634292602539,-15.351601600646973,37.68154761904765,4.514880952380956,0.24938208709839516,0.13423039620251717,0.719590126700187,8.361432817247177,2.40290027194553,-5.958532545301647,-0.7353320651584205,0.6249812218634155,Healthy,0
3,102.6673036,2.745915533,-7.741801155938043,1.6312385551053445,-11.860445976257324,-4.580194473266602,-9.106535911560059,-8.050183296203613,-7.271946907043457,53.54166666666673,5.291666666666673,0.20182757324955816,0.1299301961978796,0.4000472018503704,-15.564625528123644,1.1202120963681481,-19.608922958374023,-13.374399185180664,-16.536802291870117,-15.964995384216309,-15.4722318649292,40.53571428571432,4.267857142857145,0.27937231519145683,0.13988326947645752,0.23659282453699168,-8.906096246507433,1.2824079336975704,-13.969676971435547,-8.178001403808594,-10.608907699584961,-9.624664306640625,-8.891311645507812,50.1775793650794,5.314484126984129,0.1773480096609947,0.13203642730590867,0.3624495586792572,-15.380788167317709,1.2026320800233308,-19.373302459716797,-14.07916259765625,-16.495576858520508,-15.865701675415039,-15.343100547790527,59.37202380952384,5.403769841269844,0.22983829485513887,0.141122729983446,0.3347582468552307,7.822824372185601,1.1642950905693903,-6.658529281616211,0.18383736080593494,0.6304053914665033,Healthy,0
4,102.6673069,2.745995703,-8.118323802947998,1.3347041139998508,-9.576602935791016,-4.580194473266602,-8.923141479492188,-8.050183296203613,-7.271946907043457,54.03670634920643,5.516865079365086,0.1790210189888885,0.12783560504712485,0.5920842128192539,-15.504804717169868,0.8907372938527245,-18.41840934753418,-13.374399185180664,-16.279438018798828,-15.836580276489258,-15.4722318649292,37.17162698412702,4.276785714285717,0.24017954190292384,0.14148497146704914,0.24323997533641323,-9.064056714375814,0.8865952393501556,-12.043015480041504,-8.178001403808594,-10.36536693572998,-9.624664306640625,-8.891311645507812,68.19345238095245,6.332341269841274,0.1460616311818811,0.1271601501405615,0.26450946309461343,-15.59689892662896,0.9349245166658562,-19.31810760498047,-14.07916259765625,-16.419652938842773,-15.878982543945312,-15.344213485717773,42.033730158730194,4.623015873015874,0.2297388191591322,0.1349562783545337,0.18029988401870956,7.38648091422187,0.9457329114278163,-6.440748002794054,-0.0920942094590913,0.6731379768185889,Healthy,0
5,102.6673804,2.746042469,-8.882602214813232,1.0244625773065363,-9.576602935791016,-5.373988628387451,-8.961181640625,-8.728647232055664,-7.820374011993408,45.3958333333334,4.991071428571435,0.21824566901808082,0.13466931157739684,0.5530656700638166,-15.691593170166016,0.58566276981828,-16.87744140625,-13.374399185180664,-16.164796829223633,-15.836580276489258,-15.69559383392334,38.3759920634921,4.600198412698416,0.1961883357155129,0.13727647912990493,0.2523628961401547,-9.528220812479654,0.8580951195656286,-11.289758682250977,-7.8104472160339355,-10.237135887145996,-9.409708976745605,-8.87884521484375,62.83134920634929,6.251984126984132,0.13465513508042543,0.12216367467222725,0.423665464721596,-15.765140215555826,0.7774788673391085,-17.424671173095703,-14.07916259765625,-16.68572425842285,-15.981292724609375,-15.515327453613281,45.47023809523814,5.240079365079369,0.18846136933184,0.1279175176991402,0.5549661827821629,6.808990955352783,0.6456185976664219,-6.163372357686361,-0.0735470453898106,0.7319369197577977,Healthy,0
6,102.6674422,2.746079214,-9.205242898729113,0.8200297735152646,-9.925705909729004,-5.692982196807861,-9.016907691955566,-8.790681838989258,-8.168768882751465,33.875000000000036,4.323412698412703,0.22848058247561895,0.13907615778262933,0.40174423098921597,-16.105090459187824,0.5973577720477015,-16.87744140625,-13.374399185180664,-16.258779525756836,-15.942527770996094,-15.712055206298828,33.795634920634946,4.426587301587304,0.1920121186453524,0.1363273644031086,0.2672249709202577,-9.868799421522352,0.9425497444577013,-11.289758682250977,-7.364288330078125,-10.206377983093262,-9.257164001464844,-8.763404846191406,47.133928571428626,5.4672619047619095,0.1492260184607584,0.12079138012481765,0.5091561927774886,-16.174200587802464,0.8127987153972293,-17.424671173095703,-14.07916259765625,-16.728628158569336,-15.946991920471191,-15.515327453613281,43.14186507936512,5.135912698412702,0.1855952021700855,0.12942624143631176,0.6062445502235614,6.899847560458712,0.6635565227932396,-6.236291037665472,-0.06911012861463917,0.7206369054911994,Healthy,0
7,102.6674455,2.745995703,-9.06475109524197,0.9759857230546193,-9.925705909729004,-4.940578937530518,-8.947022438049316,-8.575932502746582,-7.834494113922119,32.90178571428575,4.356150793650798,0.21166305673316577,0.14309576558618198,0.4274558289948741,-16.039674123128254,0.6452747282525211,-16.87744140625,-13.374399185180664,-16.279438018798828,-15.964995384216309,-15.712055206298828,42.73511904761908,4.897817460317464,0.17781189606170786,0.1356391702780247,0.26784301468974275,-9.537023968166775,0.9546561524429242,-11.507376670837402,-7.364288330078125,-9.743958473205566,-9.068002700805664,-8.52879810333252,53.57539682539688,5.680555555555561,0.1552303559546598,0.1225004071048645,0.40806556005659234,-15.542088402642143,0.8933427556313724,-19.31810760498047,-14.07916259765625,-16.68572425842285,-15.878982543945312,-15.351601600646973,37.207341269841294,4.262896825396828,0.24196509965203694,0.13513737454187083,0.27524653841145097,6.974923027886284,0.4722728729248047,-6.502650154961479,0.4975857204861107,0.6985326338657358,Healthy,0
8,102.6673771,2.745955618,-8.54053094651964,1.4107094169607355,-11.80124568939209,-4.580194473266602,-9.106535911560059,-8.496596336364746,-7.515284061431885,39.16567460317465,4.645833333333338,0.2200138372264142,0.13721716164544148,0.4246035379073323,-15.965345170762804,0.9245296965270452,-19.608922958374023,-13.374399185180664,-16.38694953918457,-15.942527770996094,-15.593040466308594,30.022817460317487,3.5982142857142874,0.3051842083937175,0.1475760990670284,0.2273297497554661,-9.231075604756674,1.2553513308648614,-13.969676971435547,-7.8104472160339355,-10.324993133544922,-9.334005355834961,-8.794605255126953,47.15773809523812,5.241071428571431,0.19196511816426728,0.1331510708733361,0.2983500098866484,-15.33650016784668,1.153159745167246,-19.373302459716797,-14.07916259765625,-16.301654815673828,-15.865701675415039,-15.341363906860352,53.97718253968258,5.0664682539682575,0.24437510878454666,0.1361231933333115,0.36817871028661553,7.424814224243164,0.6905446582370338,-6.73426956600613,0.6288450029161243,0.6535251798595195,Healthy,0
9,102.667372,2.745877118,-8.480875651041666,1.8609469756251684,-12.735386848449707,-4.580194473266602,-9.464497566223145,-8.823941230773926,-7.515284061431885,41.719246031746074,4.735119047619052,0.2160508735220305,0.12905697685440215,0.5257501765228288,-16.19842031266954,1.5312610236653648,-20.398183822631836,-13.374399185180664,-16.800411224365234,-16.037601470947266,-15.71728229522705,37.224206349206376,4.142857142857144,0.278240419127959,0.14695487747234573,0.5140617459584819,-9.705917146470812,1.7170232019953706,-13.969676971435547,-7.8104472160339355,-11.074947357177734,-9.589591979980469,-8.794605255126953,56.92162698412703,5.727182539682543,0.1795531940002272,0.13052235400106552,0.5689547034322797,-16.111721568637424,1.657618740515047,-20.72287368774414,-14.07916259765625,-16.994049072265625,-15.8909912109375,-15.344213485717773,45.250000000000036,4.688492063492066,0.26923971568616184,0.1420101900043759,0.5885896909949868,7.7175446616278744,1.2250414954291458,-6.492503166198729,0.08669874403211608,0.6466525181713441,Healthy,0
10,102.6674338,2.745917203,-8.689202414618599,1.1751670048544909,-11.80124568939209,-4.940578937530518,-9.106535911560059,-8.567001342773438,-7.820374011993408,35.80654761904765,4.298611111111113,0.24163216743355664,0.1407606878953198,0.2540574904494195,-16.135264820522732,0.9278876368506265,-19.608922958374023,-13.374399185180664,-16.41716766357422,-15.964995384216309,-15.620147705078125,25.124007936507958,3.3958333333333357,0.2826089985822656,0.15114823779482814,0.25726544448820204,-9.166203710767958,1.2505477054412522,-13.969676971435547,-7.364288330078125,-10.188664436340332,-9.036087989807129,-8.52879810333252,35.41567460317464,4.4494047619047645,0.21670369741748646,0.13600275002866385,0.3975736115370843,-15.230457093980577,1.1422757838095485,-19.373302459716797,-14.07916259765625,-16.495576858520508,-15.801491737365723,-15.341363906860352,46.985119047619094,4.745039682539685,0.24789844701458105,0.132905498589927,0.42281927633217514,7.446062405904133,0.4770012961493588,-6.969061109754774,0.9048077265421544,0.6384524122443832,Healthy,0
