id,Long,Lat,HH,HH_anom,HH_std,HH_min,HH_max,HH_p25,HH_p50,HH_p75,HH_contrast,HH_dissimilarity,HH_homogeneity,HH_energy,HH_correlation,HV,HV_anom,HV_std,HV_min,HV_max,HV_p25,HV_p50,HV_p75,HV_contrast,HV_dissimilarity,HV_homogeneity,HV_energy,HV_correlation,VV,VV_anom,VV_std,VV_min,VV_max,VV_p25,VV_p50,VV_p75,VV_contrast,VV_dissimilarity,VV_homogeneity,VV_energy,VV_correlation,VH,VH_anom,VH_std,VH_min,VH_max,VH_p25,VH_p50,VH_p75,VH_contrast,VH_dissimilarity,VH_homogeneity,VH_energy,VH_correlation,HHHVRatio,HHVVRatio,HVVVRatio,VHHVRatio,RVI,Health,Tier
1,102.6672952,2.745768554,-0.26682026996007824,0.15717679391506287,2.9924429192847093,-2.5334357809960846,0.5838223263192226,-2.26313455016166,-1.644500112869338,0.06991490436259194,-0.5033166312587827,-0.9535378320839019,1.9394129090399628,0.2308489301020564,1.474368630137154,-0.9230499086240257,-0.3202334486003184,4.4933412401085935,-2.4657228483884293,1.1475632230817119,-2.376501629180535,-1.1458431765070802,0.3357517408764041,-1.3575325270083285,-1.564489660648507,1.9631291521529102,0.950946624627606,2.184156176148295,-0.9104013712276358,-0.966578656367615,1.1358692472835104,-1.6211703945991394,-0.3528383321566017,-1.2704612325441151,-1.0803090788951217,0.042397150697200736,-0.2754919919713441,-0.35534446884779003,0.31194910314023955,-0.4396694197058175,1.422042986901933,-1.2370403337508866,-0.9190249474731189,4.3419033796279,-3.465456359839638,0.11485933483048037,-2.3027625610272175,-1.9582088276088934,0.47004925283323223,-1.3426124410200733,-1.3799515089234455,1.401106942435403,0.182833244405269,2.170979442655168,0.6236812028035693,1.0714966206371193,0.3375440404870544,-0.7124021724623625,-0.3535791657168695,Healthy,0
2,102.6672986,2.745832022,0.3686913761334685,0.7324830177133729,2.678813531617166,-1.5538841377333321,0.5838223263192226,-1.7890523952382942,-0.08642554264718377,0.3684224367180598,0.055416862478133086,-0.20078099433720833,0.30328374259617535,-0.8800536185118578,1.2980545808948294,0.2871650088300649,1.0636379003126208,3.48252348012561,-2.31062216240041,0.6356557190602588,-1.3058381897382199,0.31952886077175396,0.38983060801629227,-1.152744653310589,-1.4064856730844253,1.8951084706235493,0.4557746265908195,1.841835699941625,-0.08982188744210116,-0.03346732155110945,1.3651846323298051,-1.6211703945991394,-0.3528383321566017,-1.0051910836378446,0.40258279655340384,0.3270565274129927,-0.4865185011103733,-0.5288415847632316,0.39910907496144166,-0.5716698958294887,1.6957080818660701,-0.3368422345589679,0.15093987724272453,3.77438816720443,-2.8733928932867676,0.11485933483048037,-1.7160535513839585,0.5237390838760186,0.686164752285416,-0.9778108501708839,-1.079464304660449,1.728807682222659,0.35073901732476737,1.9123414415971556,0.16105132277584197,0.6551646362400664,0.4291695694405897,-1.5130869618339515,0.017045203122484538,Healthy,0
3,102.6673036,2.745915533,0.5732855205360153,0.7938277110201782,0.9553600186048666,-0.682169153557748,0.5838223263192226,0.30810258977742777,0.5199759677766702,0.4704346171386644,0.29839648102245997,0.03396176765876173,0.28471564892728213,-0.23739220093696062,-0.2763194348844891,0.9533433963577451,1.6190203858327485,0.2573080849532071,-0.5502585900181879,0.6356557190602588,0.8867204852449339,0.8119384106853005,0.615663369251605,-0.7370398026294935,-1.3147770649178605,2.5721577393281994,1.0434702645365754,-1.0033918436458698,0.7965191543154883,0.9873386667105065,0.08123562795328747,-0.9389080286912389,-0.3528383321566017,0.43864646904808074,0.529663947133464,0.41256383736832875,0.043024380431185276,0.060217485440680577,-0.4053382219658273,-0.16032009062621447,-0.509767599131971,1.0733010820361053,1.9799800862314043,0.5212966150883972,-0.403955723808087,0.11485933483048037,0.8765602787852537,0.847347433778641,0.693882080788009,0.3588779352031207,-0.1413579108637761,1.232686465664713,1.179177504230777,-0.4011191631728395,-0.27412081804223387,-0.4647593074530841,-0.14276796494587532,0.24461916896456076,0.05875920338709546,Healthy,0
4,102.6673069,2.745995703,0.3285288152530422,0.4275231328176858,0.31067414293668416,1.095584592759299,0.5838223263192226,0.45082910919678043,0.5199759677766702,0.4704346171386644,0.3315602746913946,0.29014737810628694,-0.28120504653677364,-0.45831214122157743,0.8659819559953168,1.0000434369869657,1.5457241104144375,-0.4552532713108029,0.42483765476449153,0.6356557190602588,1.1161320918875532,0.9269869397491816,0.615663369251605,-0.9513056710988036,-1.3048327580082322,1.5201229021967573,1.2449557245940424,-0.9632787367941865,0.7063865853425304,0.7583885277144267,-0.6278022084169286,0.5637888810632995,-0.3528383321566017,0.6159549559475994,0.529663947133464,0.41256383736832875,1.1825549798854724,1.126133898190621,-1.1045706915026647,-0.6308662678010665,-1.082999075932181,0.9013719712129409,1.6396317372418083,-0.30312194913169926,-0.3572236880901,0.11485933483048037,0.9449620069122586,0.8350904618939172,0.6928717462173868,-0.7096049545691748,-0.9653419866650972,1.2301612646849587,0.4379879421160456,-1.3296631747644116,-0.6266673079368186,-0.662379195765232,0.03517184703219412,-0.2830382998713372,0.38738961267032807,Healthy,0
5,102.6673804,2.746042469,-0.1682866286320423,-0.41191344713437034,-0.3638118830579083,1.095584592759299,0.16471782191070475,0.4212243947274319,0.007729541277953038,0.07996806807881675,-0.24731075307695774,-0.3079952365949829,0.6921134552474112,0.2624500170861616,0.6338864061074816,0.8542241442540442,1.0433924246966384,-1.402565630771141,1.6869753062750035,0.6356557190602588,1.2183219536504624,0.9269869397491816,0.4200627942976641,-0.8745971000808909,-0.9446278632817234,0.3392857847037411,0.7155501175094069,-0.9082252698212734,0.44153359299779577,0.27436532057397656,-0.6788558091652065,1.1512904568966453,-0.20454129448148856,0.709312851513303,0.6724135651248313,0.4199267180653635,0.8433940277901861,1.0419826024472054,-1.3594992842481528,-1.1130112220871569,-0.15147834063328192,0.7675259040336591,1.1918207385428707,-0.7879835441226947,1.2458992730495764,0.11485933483048037,0.7052518056797574,0.7406679469008709,0.5375330224226549,-0.49782806321646894,-0.31411187847142086,0.18232887014074836,-0.40805062948980014,0.9226858834098932,-1.0932540167160927,-0.9337370189684242,0.26180367877041927,-0.24757099311306738,0.8395766386675878,Healthy,0
6,102.6674422,2.746079214,-0.37801762731857824,-0.7222648705224058,-0.8082625871182538,0.8238412598015469,-0.003703223444544831,0.37785565524218706,-0.03910714972623233,-0.16808047231465004,-1.019116636598643,-1.0675235001684837,0.9460820853044767,0.7272472641062527,-0.26622492895624933,0.5314210947883247,0.45512395849096204,-1.3662505035381758,1.6869753062750035,0.6356557190602588,1.134546839292163,0.8320673962720752,0.40564738635836134,-1.1663297791498406,-1.1379893865244817,0.22718537749634135,0.5961566107901964,-0.8185381223980709,0.24719873577368903,-0.07934027417737015,-0.5275682800887035,1.1512904568966453,-0.024529630023894352,0.7317059710119277,0.773717110184478,0.48810771428741573,-0.14949103141494507,0.2202088378417461,-1.033848465436856,-1.2454335457873538,0.3488885009923882,0.44209376776474707,0.6760607504874075,-0.6792143406703977,1.2458992730495764,0.11485933483048037,0.6665986259458266,0.7723243096595854,0.5375330224226549,-0.6413154662201642,-0.42404622149446897,0.10957091603188099,-0.22670642160479643,1.230951620126899,-1.0198458410479796,-0.9175178781544173,0.2022249295071841,-0.23908638124798123,0.7526750790558352,Healthy,0
7,102.6674455,2.745995703,-0.28669161754507655,-0.5544838205099641,-0.46920383387659187,0.8238412598015469,0.39354786874418146,0.4322437788962651,0.12303054731308426,0.06991490436259194,-1.0843143952944814,-1.0302806581210466,0.5287728436113254,1.1512018461775329,-0.11328360782537245,0.5824893685727989,0.7038189583500138,-1.2174595647201567,1.6869753062750035,0.6356557190602588,1.1161320918875532,0.8119384106853005,0.40564738635836134,-0.5969550399056773,-0.6131509662941381,-0.15398511898867237,0.5095855066048529,-0.8148084558819257,0.4365104941943015,0.2830220371090287,-0.5058815038770158,0.9815596139766427,-0.024529630023894352,1.0683679010854772,0.8993371793450601,0.6266703474049683,0.25794135747584085,0.4435733882718017,-0.8996549940960893,-1.0805175484226972,-0.24278268678162918,0.9449770405895792,1.4965375902373155,-0.43117502054984413,-0.3572236880901,0.11485933483048037,0.7052518056797574,0.8350904618939172,0.686164752285416,-1.007034104809046,-1.3454007154019185,1.5405266777337803,0.4597551774517968,-0.7588805655356348,-0.9591881365820957,-1.0904730237857856,-0.015405766329624586,0.8445927970682522,0.5826845256799367,Healthy,0
8,102.6673771,2.745955618,0.054075126402825385,0.0618466568295023,0.4759147979921001,-0.6360873826597682,0.5838223263192226,0.30810258977742777,0.1829300726580323,0.2971845752014343,-0.6646827455436921,-0.7007379345497803,0.7359886926340206,0.5311759136334467,-0.1302500043551592,0.6405154140250438,1.0311886450617573,-0.3503216621882061,-0.5502585900181879,0.6356557190602588,1.020297536725921,0.8320673962720752,0.5098699255619548,-1.4066285399250653,-2.060600083139926,3.2650153399165074,2.0111866801397986,-1.0592910882543722,0.6110852617886959,0.6849458851964436,0.03276786679756802,-0.9389080286912389,-0.20454129448148856,0.6453488761377977,0.7226875591255179,0.4696802353336068,-0.14798504383857544,-0.01666147610268747,-0.07865429838373424,-0.052760316687856135,-0.8849344681989787,1.1085348500977144,1.9217510844429881,0.36894413479553695,-0.403955723808087,0.11485933483048037,1.0512694206332345,0.847347433778641,0.6954586182799566,0.02641756130704399,-0.4973357835098343,1.601705012411844,0.5782477307585455,-0.2002082470272878,-0.5956956647337449,-0.8931157042142452,-0.2046521270575021,1.0955968436937056,0.23655948061202192,Healthy,0
9,102.667372,2.745877118,0.092853759480599,0.17564706397789384,1.4547616182271312,-1.36322708345311,0.5838223263192226,0.029519317212496166,-0.06421829224823092,0.2971845752014343,-0.4936133970390155,-0.5991665471476788,0.6376519097052966,-0.3294920673700343,0.4714045693666749,0.45856170221199793,0.9038297184365353,1.533690406302344,-1.1967067262547906,0.6356557190602588,0.6517424597118435,0.7468898067684144,0.40106996610951606,-0.9479567796128494,-1.453997361652647,2.541774737797658,1.9330403585784213,0.6710309021071108,0.3401396980832462,0.41241155097313276,0.8597823342316225,-0.9389080286912389,-0.20454129448148856,0.09934891074630413,0.5529551176071195,0.4696802353336068,0.46959536143835706,0.4924019179006957,-0.3560536269995266,-0.3064236408139157,0.6988819165437775,0.49179958641247873,1.1361879964406676,1.9224503392400023,-1.5466022826843646,0.11485933483048037,0.42747439138396076,0.8240076103951063,0.6928717462173868,-0.5114003697639002,-0.8962403996220375,2.232895667312558,1.2858476192160768,1.1248174263472084,-0.3591822340823697,-0.40983352939349893,-0.00711509376882171,0.05886327084872223,0.1837060058025446,Healthy,0
10,102.6674338,2.745917203,-0.042568034348463284,-0.14620741549533323,-0.036170292831088406,-0.6360873826597682,0.39354786874418146,0.30810258977742777,0.1297736541150489,0.07996806807881675,-0.8897180268322853,-1.0957377744468482,1.2724248559301072,0.9049173988096886,-1.1447158421503214,0.507865013253592,0.732148020410092,-0.33989464150882737,-0.5502585900181879,0.6356557190602588,0.9933614418933817,0.8119384106853005,0.48613181332820576,-1.7186441278051763,-2.2860043730914827,2.6590386461430238,2.460542439942518,-0.8786401962062925,0.6481012983847407,0.6746541581044806,0.02416290736668285,-0.9389080286912389,-0.024529630023894352,0.7446022193552073,0.9205314098187625,0.6266703474049683,-0.8906879169190222,-0.8457075749081943,0.4742386443264345,0.22241820158924222,-0.3041907863801388,1.1928984951881278,1.9251444182393682,0.3354264422693897,-0.403955723808087,0.11485933483048037,0.8765602787852537,0.9066070675590923,0.6954586182799566,-0.4044726033158968,-0.8365617562666682,1.6911453230369708,0.19149017529731893,0.1282697289129167,-0.5785280603512365,-1.0861976707800687,-0.39649030238014515,1.6233138863710352,0.12064396205443594,Healthy,0
