location,sampler,cv,n,n_pos,n_neg,pos_rate,n_train_fit,n_synthetic,pr_auc,pr_auc_baseline,pr_auc_lift,roc_auc,accuracy,bal_acc,precision_U,recall_U,f1_U,precision_H,recall_H,f1_macro,MCC,tn,fp,fn,tp,thr_best_f1,f1_U_best,recall_U_best,params,gsmote_k_neighbors,gsmote_truncation_factor,gsmote_deformation_factor,gsmote_selection_strategy
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08397186601148261,0.09212344541685859,-0.008151579405375975,0.4677359208523592,0.6895439889451865,0.46511669203450023,0.06909090909090909,0.19,0.10133333333333333,0.9000616903146206,0.7402333840690005,0.45684706755753524,-0.046390933917567295,1459,512,162,38,0.06,0.16927322907083717,0.92,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""majority"", ""truncation_factor"": 0.5}",3,0.5,0.0,majority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.0823455997471288,0.09212344541685859,-0.009777845669729793,0.45957382039573813,0.6830953477660064,0.472796803652968,0.07491289198606271,0.215,0.1111111111111111,0.9016906700062617,0.730593607305936,0.45914299950174386,-0.035677945482999976,1440,531,157,43,0.05,0.16982836495031617,0.94,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""combined"", ""truncation_factor"": 0.5}",3,0.5,0.0,combined
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08556597990639928,0.09212344541685859,-0.006557465510459312,0.4807876712328767,0.6609857208659604,0.4785908168442415,0.07993730407523511,0.255,0.12171837708830549,0.9028049575994781,0.702181633688483,0.4558363574939244,-0.027183600963088642,1384,587,149,51,0.06,0.1732495511669659,0.965,"{""deformation_factor"": 0.5, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": 0.5}",3,0.5,0.5,minority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08142269722633494,0.09212344541685859,-0.010700748190523648,0.45840309487569764,0.7521879318286504,0.47266108574327753,0.06666666666666667,0.13,0.08813559322033898,0.9023020774845593,0.8153221714865551,0.4723727006613422,-0.04119128167289901,1607,364,174,26,0.05,0.16815406294034757,0.895,"{""deformation_factor"": 0.5, ""k_neighbors"": 3, ""selection_strategy"": ""majority"", ""truncation_factor"": 0.5}",3,0.5,0.5,majority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08096908187251088,0.09212344541685859,-0.011154363544347706,0.45548579401319134,0.7498848456932289,0.46690005073566715,0.061381074168797956,0.12,0.08121827411167512,0.9011235955056179,0.8138001014713343,0.46822843857543234,-0.049821552192324016,1604,367,176,24,0.06,0.16488845780795344,0.85,"{""deformation_factor"": 0.5, ""k_neighbors"": 3, ""selection_strategy"": ""combined"", ""truncation_factor"": 0.5}",3,0.5,0.5,combined
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08301792230761791,0.09212344541685859,-0.009105523109240676,0.46727803145611363,0.760939659143252,0.49095890410958903,0.0835509138381201,0.16,0.1097770154373928,0.9060402684563759,0.821917808219178,0.4858541900810268,-0.013719119431018126,1620,351,168,32,0.05,0.1699953553181607,0.915,"{""deformation_factor"": 1.0, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": 0.5}",3,0.5,1.0,minority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.0803378307378507,0.09212344541685859,-0.011785614679007891,0.454580162354135,0.8139106402579457,0.4774518011161847,0.05652173913043478,0.065,0.06046511627906977,0.9036579082946935,0.8899036022323693,0.478596566319494,-0.0423763431523263,1754,217,187,13,0.08,0.1586433260393873,0.725,"{""deformation_factor"": 1.0, ""k_neighbors"": 3, ""selection_strategy"": ""majority"", ""truncation_factor"": 0.5}",3,0.5,1.0,majority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08004879360511041,0.09212344541685859,-0.012074651811748174,0.4562620497209538,0.809765085214187,0.48415398274987315,0.06882591093117409,0.085,0.07606263982102908,0.9048856548856549,0.8833079654997463,0.4850146318488971,-0.028864060059019838,1741,230,183,17,0.06,0.161439588688946,0.785,"{""deformation_factor"": 1.0, ""k_neighbors"": 3, ""selection_strategy"": ""combined"", ""truncation_factor"": 0.5}",3,0.5,1.0,combined
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08867025447959724,0.09212344541685859,-0.0034531909372613467,0.49291603247082705,0.592814371257485,0.49046549974632164,0.08795180722891566,0.365,0.141747572815534,0.9052945563012678,0.6159309994926433,0.43741968012757376,-0.011348352183001538,1214,757,127,73,0.06,0.17506631299734748,0.99,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": 1.0}",3,1.0,0.0,minority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08555816087960097,0.09212344541685859,-0.006565284537257618,0.4681544901065449,0.707508060801474,0.47725646879756467,0.07602339181286549,0.195,0.1093969144460028,0.9028950542822678,0.7595129375951294,0.46720879064818743,-0.030966723398873124,1497,474,161,39,0.05,0.16788990825688074,0.915,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""majority"", ""truncation_factor"": 1.0}",3,1.0,0.0,majority
