location,sampler,cv,n,n_pos,n_neg,pos_rate,pr_auc,pr_auc_baseline,pr_auc_lift,roc_auc,precision_U,recall_U,f1_U,precision_H,recall_H,f1_macro,MCC,bal_acc,accuracy,tn,fp,fn,tp,thr_best_f1,f1_U_best,recall_U_best,n_train_fit,n_synthetic,params
Palong_Basemap,none,spatial,2171,200,1971,0.09212344541685859,0.08072819374455625,0.09212344541685859,-0.011395251672302334,0.45805175038051754,0.0,0.0,0.0,0.9067599067599068,0.9868087265347539,0.47254616132167154,-0.035070722374298355,0.49340436326737697,0.8959005066789498,1945,26,200,0,0.05,0.15880597014925374,0.665,1736,0,{}
Palong_Basemap,none,random,2171,200,1971,0.09212344541685859,0.11859603715180132,0.09212344541685859,0.026472591734942735,0.5830669710806696,0.15384615384615385,0.01,0.018779342723004695,0.9082483781278962,0.9944190766108574,0.48408087988656895,0.01656503830085109,0.5022095383054287,0.9037309995393827,1960,11,198,2,0.08,0.1932367149758454,0.6,1736,0,{}
Palong_Basemap,class_weighted_rf,spatial,2171,200,1971,0.09212344541685859,0.07929341312152914,0.09212344541685859,-0.012830032295329447,0.44820395738203966,0.0,0.0,0.0,0.9075785582255084,0.9964485032978183,0.4749697702539299,-0.018117241668448844,0.49822425164890916,0.9046522339935513,1964,7,200,0,0.05,0.14267015706806283,0.545,1736,0,{}
Palong_Basemap,class_weighted_rf,random,2171,200,1971,0.09212344541685859,0.11664619346297934,0.09212344541685859,0.024522748046120757,0.5814193302891932,0.14285714285714285,0.005,0.00966183574879227,0.9080406654343808,0.9969558599695586,0.4800425260968871,0.0099774238045529,0.5009779299847793,0.9055734684477199,1965,6,199,1,0.09,0.18361303060217177,0.465,1736,0,{}
Palong_Basemap,random_oversample,spatial,2171,200,1971,0.09212344541685859,0.0820580387146352,0.09212344541685859,-0.01006540670222339,0.4622044647387114,0.05263157894736842,0.02,0.028985507246376812,0.9064439140811456,0.9634703196347032,0.48153653129165863,-0.02600901803886537,0.4917351598173516,0.8765545831414094,1899,72,196,4,0.05,0.15563298490127758,0.67,3153,1416,{}
Palong_Basemap,random_oversample,random,2171,200,1971,0.09212344541685859,0.11376150446373506,0.09212344541685859,0.021638059046876476,0.5766679350583461,0.09090909090909091,0.02,0.03278688524590164,0.9078514339445228,0.9797057331303907,0.487598908703966,-0.0006039341613832305,0.49985286656519534,0.8912943344081069,1931,40,196,4,0.15,0.18797814207650274,0.43,3153,1416,{}
Palong_Basemap,smote,spatial,2171,200,1971,0.09212344541685859,0.08277270721378686,0.09212344541685859,-0.009350738203071723,0.47186453576864545,0.07219251336898395,0.135,0.09407665505226481,0.9037284362826934,0.823947234906139,0.4780362043838819,-0.031440604282248485,0.4794736174530695,0.7604790419161677,1624,347,173,27,0.07,0.16421692853522554,0.81,3153,1416,"{""k_neighbors"": 5}"
Palong_Basemap,smote,random,2171,200,1971,0.09212344541685859,0.11194261382337554,0.09212344541685859,0.019819168406516957,0.5679046169457129,0.1327683615819209,0.235,0.16967509025270758,0.9157952669235003,0.8442415017757483,0.5241194881041785,0.06203430385237764,0.5396207508878741,0.7881160755412252,1664,307,153,47,0.07,0.18539616778871051,0.895,3153,1416,"{""k_neighbors"": 5}"
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,0.08460865628467362,0.09212344541685859,-0.007514789132184965,0.46736808726534745,0.07663551401869159,0.205,0.11156462585034013,0.9028117359413202,0.7493658041603247,0.4652638765514523,-0.03062528726997858,0.47718290208016234,0.6992169507139567,1477,494,159,41,0.05,0.16423357664233576,0.9,3153,1416,"{""deformation_factor"": 0.0, ""k_neighbors"": 5, ""selection_strategy"": ""combined"", ""truncation_factor"": 1.0}"
Palong_Basemap,gsmote,random,2171,200,1971,0.09212344541685859,0.11861597469468811,0.09212344541685859,0.026492529277829524,0.5723046676813801,0.12830957230142567,0.315,0.18234442836468887,0.9184523809523809,0.7828513444951801,0.5137961528292905,0.06764406845471183,0.54892567224759,0.7397512666973745,1543,428,137,63,0.31,0.18724778046811946,0.58,3153,1416,"{""deformation_factor"": 0.0, ""k_neighbors"": 5, ""selection_strategy"": ""combined"", ""truncation_factor"": 1.0}"
