location,sampler,cv,n,n_pos,n_neg,pos_rate,pr_auc,pr_auc_baseline,pr_auc_lift,roc_auc,precision_U,recall_U,f1_U,precision_H,recall_H,f1_macro,MCC,bal_acc,accuracy,tn,fp,fn,tp,thr_best_f1,f1_U_best,recall_U_best,n_train_fit,n_synthetic,params,gsmote_k_neighbors,gsmote_truncation_factor,gsmote_deformation_factor,gsmote_selection_strategy
AHCensus_Basemap,gsmote,random,2511,160,2351,0.06371963361210672,0.08664943198335684,0.06371963361210672,0.022929798371250115,0.5627033709059974,0.08620689655172414,0.46875,0.14563106796116504,0.9482023156611822,0.6618460229689493,0.46259509309881897,0.0670351122062175,0.5652980114844747,0.649542015133413,1556,795,85,75,0.56,0.1488833746898263,0.375,3761,1752,"{""deformation_factor"": 0.0, ""k_neighbors"": 4, ""selection_strategy"": ""minority"", ""truncation_factor"": 1.0}",4,1.0,0.0,minority
AHCensus_Basemap,gsmote,random,2511,160,2351,0.06371963361210672,0.08263794507027158,0.06371963361210672,0.01891831145816486,0.551738621863037,0.07563025210084033,0.39375,0.1268882175226586,0.9421930870083433,0.672479795831561,0.45584917205246855,0.034357475318159025,0.5331148979157805,0.6547192353643967,1581,770,97,63,0.54,0.13663133097762073,0.3625,3761,1752,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": 1.0}",3,1.0,0.0,minority
AHCensus_Basemap,gsmote,random,2511,160,2351,0.06371963361210672,0.08685943333585412,0.06371963361210672,0.023139799723747398,0.5686848681412164,0.08304093567251462,0.44375,0.1399014778325123,0.946256038647343,0.6665248830284985,0.46101637405476376,0.05683942659995105,0.5551374415142493,0.6523297491039427,1567,784,89,71,0.64,0.15414258188824662,0.25,3761,1752,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": 0.0}",3,0.0,0.0,minority
AHCensus_Basemap,gsmote,random,2511,160,2351,0.06371963361210672,0.08281874590472957,0.06371963361210672,0.019099112292622844,0.5585415780518928,0.08208092485549133,0.44375,0.13853658536585367,0.9459295261239368,0.6622713738834538,0.45881044930038994,0.05449501349604482,0.5530106869417268,0.648347272003186,1557,794,89,71,0.54,0.1473922902494331,0.40625,3761,1752,"{""deformation_factor"": 0.0, ""k_neighbors"": 4, ""selection_strategy"": ""minority"", ""truncation_factor"": 0.5}",4,0.5,0.0,minority
AHCensus_Basemap,gsmote,random,2511,160,2351,0.06371963361210672,0.09033456412286513,0.06371963361210672,0.026614930510758403,0.5744098256061251,0.08700834326579261,0.45625,0.14614614614614616,0.9479665071770335,0.6741811994895789,0.4670576616885342,0.06754118517783382,0.5652155997447894,0.660294703305456,1585,766,87,73,0.65,0.14960629921259844,0.2375,3761,1752,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": 0.5}",3,0.5,0.0,minority
Palong_Basemap,gsmote,random,2171,200,1971,0.09212344541685859,0.12336459503088523,0.09212344541685859,0.031241149614026645,0.570929731100964,0.11440107671601615,0.425,0.18027571580063625,0.9194677871148459,0.6661593099949265,0.4764279432195297,0.05556493729982522,0.5455796549974632,0.6439428834638415,1313,658,115,85,0.51,0.1843817787418655,0.425,3153,1416,"{""deformation_factor"": 0.0, ""k_neighbors"": 4, ""selection_strategy"": ""minority"", ""truncation_factor"": 1.0}",4,1.0,0.0,minority
Palong_Basemap,gsmote,random,2171,200,1971,0.09212344541685859,0.12528352927419503,0.09212344541685859,0.033160083857336445,0.5622666159309995,0.10729023383768914,0.39,0.16828478964401294,0.9155124653739612,0.6707255200405885,0.47125806100063017,0.03721163484659853,0.5303627600202943,0.6448641179180101,1322,649,122,78,0.42,0.18421052631578946,0.56,3153,1416,"{""deformation_factor"": 0.0, ""k_neighbors"": 4, ""selection_strategy"": ""minority"", ""truncation_factor"": 0.0}",4,0.0,0.0,minority
Palong_Basemap,gsmote,random,2171,200,1971,0.09212344541685859,0.12992153149898505,0.09212344541685859,0.03779808608212647,0.5704819888381533,0.11486486486486487,0.425,0.18085106382978725,0.9196366177498253,0.6676813800101471,0.47725680763505823,0.05654772339471841,0.5463406900050736,0.6453247351450945,1316,655,115,85,0.61,0.1853035143769968,0.29,3153,1416,"{""deformation_factor"": 0.0, ""k_neighbors"": 4, ""selection_strategy"": ""minority"", ""truncation_factor"": 0.5}",4,0.5,0.0,minority
Palong_Basemap,gsmote,random,2171,200,1971,0.09212344541685859,0.1288823894830951,0.09212344541685859,0.03675894406623652,0.5659462201927956,0.10810810810810811,0.4,0.1702127659574468,0.9161425576519916,0.665144596651446,0.4704679350069421,0.03974669595665441,0.5325722983257231,0.6407185628742516,1311,660,120,80,0.26,0.18181818181818182,0.805,3153,1416,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": 0.5}",3,0.5,0.0,minority
Palong_Basemap,gsmote,random,2171,200,1971,0.09212344541685859,0.14271973769393165,0.09212344541685859,0.05059629227707306,0.5673820395738204,0.1136986301369863,0.415,0.17849462365591398,0.9188063844552394,0.671740233384069,0.47728951581388895,0.05309889407400334,0.5433701166920345,0.6480884385076002,1324,647,117,83,0.4,0.18322981366459629,0.59,3153,1416,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": 0.0}",3,0.0,0.0,minority
Serting_Basemap,gsmote,random,1667,154,1513,0.09238152369526095,0.12223857402579816,0.09238152369526095,0.029857050330537205,0.5713856533420314,0.18461538461538463,0.15584415584415584,0.16901408450704225,0.9154196486662329,0.9299405155320555,0.5458185176633572,0.09263623727339063,0.5428923356881057,0.8584283143371326,1407,106,130,24,0.26,0.18855218855218855,0.36363636363636365,2420,1087,"{""deformation_factor"": 1.0, ""k_neighbors"": 4, ""selection_strategy"": ""combined"", ""truncation_factor"": 1.0}",4,1.0,1.0,combined
Serting_Basemap,gsmote,random,1667,154,1513,0.09238152369526095,0.13787267516912824,0.09238152369526095,0.045491151473867286,0.5712247105175065,0.15019762845849802,0.24675324675324675,0.18673218673218672,0.917963224893918,0.8578982154659617,0.5368235583473028,0.08445787689398407,0.5523257311096043,0.8014397120575885,1298,215,116,38,0.48,0.19954648526077098,0.2857142857142857,2420,1087,"{""deformation_factor"": 0.5, ""k_neighbors"": 3, ""selection_strategy"": ""majority"", ""truncation_factor"": 0.5}",3,0.5,0.5,majority
Serting_Basemap,gsmote,random,1667,154,1513,0.09238152369526095,0.13848200035246877,0.09238152369526095,0.04610047665720782,0.5644050265662957,0.149812734082397,0.2597402597402597,0.19002375296912113,0.9185714285714286,0.8499669530733642,0.5364811521453914,0.08661544830655046,0.5548536064068119,0.7954409118176364,1286,227,114,40,0.49,0.19114219114219114,0.2662337662337662,2420,1087,"{""deformation_factor"": 0.5, ""k_neighbors"": 3, ""selection_strategy"": ""majority"", ""truncation_factor"": 0.0}",3,0.0,0.5,majority
Serting_Basemap,gsmote,random,1667,154,1513,0.09238152369526095,0.1282955147250056,0.09238152369526095,0.03591399102974466,0.5732246933502716,0.14150943396226415,0.19480519480519481,0.16393442622950818,0.9147766323024055,0.8797091870456047,0.5304173478856435,0.06476203698560602,0.5372571909253998,0.8164367126574685,1331,182,124,30,0.33,0.19722650231124808,0.4155844155844156,2420,1087,"{""deformation_factor"": 0.5, ""k_neighbors"": 4, ""selection_strategy"": ""combined"", ""truncation_factor"": 1.0}",4,1.0,0.5,combined
Serting_Basemap,gsmote,random,1667,154,1513,0.09238152369526095,0.12947700002947382,0.09238152369526095,0.03709547633421287,0.559239834851203,0.15568862275449102,0.16883116883116883,0.16199376947040497,0.9146666666666666,0.9068076668869796,0.5363569909416412,0.07294924385097988,0.5378194178590742,0.8386322735452909,1372,141,128,26,0.28,0.19003115264797507,0.3961038961038961,2420,1087,"{""deformation_factor"": 1.0, ""k_neighbors"": 3, ""selection_strategy"": ""majority"", ""truncation_factor"": 0.0}",3,0.0,1.0,majority
