estate,sampler,cv,feature,importance
Palong_Basemap,gsmote,random,VH_meanW3,0.24987754555414546
Serting_Basemap,none,spatial,HH_meanW3,0.2529643518825102
Serting_Basemap,none,spatial,HV_meanW3,0.23176649478431255
Serting_Basemap,none,spatial,VV_meanW3,0.25332700860779295
Serting_Basemap,none,spatial,VH_meanW3,0.2619421447253843
Serting_Basemap,none,random,HH_meanW3,0.25272895468436685
Serting_Basemap,none,random,HV_meanW3,0.23152849602756503
Serting_Basemap,none,random,VV_meanW3,0.2573494877706052
Serting_Basemap,none,random,VH_meanW3,0.258393061517463
Serting_Basemap,class_weighted_rf,spatial,HH_meanW3,0.2609474914372715
Serting_Basemap,class_weighted_rf,spatial,HV_meanW3,0.22431165872547396
Serting_Basemap,class_weighted_rf,spatial,VV_meanW3,0.2613066204976637
Serting_Basemap,class_weighted_rf,spatial,VH_meanW3,0.2534342293395908
Serting_Basemap,class_weighted_rf,random,HH_meanW3,0.26495335159036904
Serting_Basemap,class_weighted_rf,random,HV_meanW3,0.2214535399068842
Serting_Basemap,class_weighted_rf,random,VV_meanW3,0.2667680864332187
Serting_Basemap,class_weighted_rf,random,VH_meanW3,0.2468250220695281
Serting_Basemap,random_oversample,spatial,HH_meanW3,0.25656672420333393
Serting_Basemap,random_oversample,spatial,HV_meanW3,0.22540664809115807
Serting_Basemap,random_oversample,spatial,VV_meanW3,0.2606052092629837
Serting_Basemap,random_oversample,spatial,VH_meanW3,0.25742141844252436
Serting_Basemap,random_oversample,random,HH_meanW3,0.25558242275054377
Serting_Basemap,random_oversample,random,HV_meanW3,0.22797916463757778
Serting_Basemap,random_oversample,random,VV_meanW3,0.27157048387509425
Serting_Basemap,random_oversample,random,VH_meanW3,0.24486792873678426
Serting_Basemap,smote,spatial,HH_meanW3,0.26616584305512825
Serting_Basemap,smote,spatial,HV_meanW3,0.2328400583527747
Serting_Basemap,smote,spatial,VV_meanW3,0.25610631637996606
Serting_Basemap,smote,spatial,VH_meanW3,0.2448877822121311
Serting_Basemap,smote,random,HH_meanW3,0.26192841517561777
Serting_Basemap,smote,random,HV_meanW3,0.23348314283141858
Serting_Basemap,smote,random,VV_meanW3,0.2597858664455316
Serting_Basemap,smote,random,VH_meanW3,0.24480257554743204
Serting_Basemap,gsmote,spatial,HH_meanW3,0.2548045326710214
Serting_Basemap,gsmote,spatial,HV_meanW3,0.23204008064412251
Serting_Basemap,gsmote,spatial,VV_meanW3,0.25562737453992523
Serting_Basemap,gsmote,spatial,VH_meanW3,0.25752801214493104
Serting_Basemap,gsmote,random,HH_meanW3,0.25441688185140077
Serting_Basemap,gsmote,random,HV_meanW3,0.2347627074716005
Serting_Basemap,gsmote,random,VV_meanW3,0.2537593706373911
Serting_Basemap,gsmote,random,VH_meanW3,0.2570610400396076
