n_h,n_u,mean_h,mean_u,median_h,median_u,cohen_d,mwu_p,frac_u_below_h_median,estate,column,used_as_feature,abs_d
2351,160,0.021233010666941478,0.019682777158191632,0.020613022355569735,0.018941152840852737,-0.33752339279248667,1.3854774135115967e-05,0.6375,AHCensus_Basemap,HV_meanW3,True,0.33752339279248667
2351,160,0.02066596299532229,0.019414953552121816,0.019759347144928243,0.018862166493717167,-0.2852701900810822,0.0014103795816333867,0.59375,AHCensus_Basemap,VV_meanW3,True,0.2852701900810822
2351,160,0.09906094838256851,0.09264430700180433,0.09554988725317849,0.09019577999909718,-0.2453048643343493,0.002967564961365291,0.60625,AHCensus_Basemap,VH_meanW3,True,0.2453048643343493
2351,160,0.14140240316375582,0.13271338460553023,0.13591399209366906,0.12535112433963352,-0.22362227116370764,0.00016527962740656624,0.6125,AHCensus_Basemap,HH_meanW3,True,0.22362227116370764
2351,160,0.17543018034024166,0.17143730312167366,0.17505118891657967,0.18329700671229515,-0.03638201335200284,0.7555629416753,0.4625,AHCensus_Basemap,RFDI_VH_meanW3,False,0.03638201335200284
2351,160,0.8425353903395536,0.8387437412013788,0.8323289064447418,0.84677202083699,-0.025460139088519032,0.864835692392742,0.475,AHCensus_Basemap,RVI_meanW3,False,0.025460139088519032
2351,160,0.731979074765468,0.7323880672883996,0.7378927782504854,0.7308572691314381,0.006983202567710143,0.9648993269181446,0.525,AHCensus_Basemap,RFDI_meanW3,False,0.006983202567710143
1971,200,0.10994659805959874,0.09049409039318562,0.08945890929963854,0.084315891067187,-0.3526371894065449,0.00051651734681347,0.545,Palong_Basemap,VH_meanW3,True,0.3526371894065449
1971,200,0.15342323629649565,0.13858912590270242,0.13977869020568,0.13416735289825332,-0.25560085155522555,0.014531314957738605,0.545,Palong_Basemap,HH_meanW3,True,0.25560085155522555
1971,200,0.02290208003783443,0.021214851231003803,0.021416017164786656,0.02061315755256348,-0.25521390402668426,0.034492589844109384,0.575,Palong_Basemap,VV_meanW3,True,0.25521390402668426
1971,200,0.022709391040860744,0.02107676777885192,0.02092751508785619,0.020762623546438083,-0.24280277364824512,0.16150150037480548,0.535,Palong_Basemap,HV_meanW3,True,0.24280277364824512
1971,200,0.18252215487197448,0.20969855907321602,0.19064719951138728,0.21282436512934577,0.22826117323834574,0.004704541645848483,0.4,Palong_Basemap,RFDI_VH_meanW3,False,0.22826117323834574
1971,200,0.7301207354558589,0.7237747425835585,0.7369939320133575,0.738727501975303,-0.09026889168940652,0.5025881174853976,0.48,Palong_Basemap,RFDI_meanW3,False,0.09026889168940652
1971,200,0.8408800959967279,0.8558077423870291,0.8327474507664309,0.8282575330843973,0.0878308764994575,0.5056107813894466,0.51,Palong_Basemap,RVI_meanW3,False,0.0878308764994575
1513,154,0.022373238378591172,0.023558520300725062,0.022068342400921717,0.023082154906458326,0.2666021565273331,0.0026556572254383863,0.38311688311688313,Serting_Basemap,VV_meanW3,True,0.2666021565273331
1513,154,0.022651527475970837,0.023446271283361218,0.022642407255868118,0.023391603181759514,0.17842548296900967,0.04070884319572885,0.44155844155844154,Serting_Basemap,HV_meanW3,True,0.17842548296900967
1513,154,0.7531742854482247,0.745184170611454,0.757994042251906,0.7557152918050778,-0.1446038091016533,0.13733952950386955,0.525974025974026,Serting_Basemap,RFDI_meanW3,False,0.1446038091016533
1513,154,0.7866416883096188,0.8066613504142734,0.7783235565759332,0.7902930438444917,0.14061533186824818,0.17317668637994277,0.4805194805194805,Serting_Basemap,RVI_meanW3,False,0.14061533186824818
1513,154,0.24215474095274372,0.2325121651162582,0.2418088302940452,0.2265175711662834,-0.08928365477545369,0.24626631107256003,0.551948051948052,Serting_Basemap,RFDI_VH_meanW3,False,0.08928365477545369
1513,154,0.10052265490404509,0.10204694063428248,0.09749827120039198,0.09665940991706318,0.06543912701682539,0.6619150105085488,0.5064935064935064,Serting_Basemap,VH_meanW3,True,0.06543912701682539
1513,154,0.16523666658957922,0.1635682610002001,0.1641642078757286,0.15968729100293583,-0.052696173345814994,0.3704048177111565,0.5584415584415584,Serting_Basemap,HH_meanW3,True,0.052696173345814994
