id,Long,Lat,Class,Location,HH_meanW3,HV_meanW3,VV_meanW3,VH_meanW3,HA_Entropy_meanW3,HA_Anisotropy_meanW3,HA_Alpha_meanW3,YA_Yamaguchi_dbl_r_meanW3,YA_Yamaguchi_vol_g_meanW3,YA_Yamaguchi_surf_b_meanW3,YA_Yamaguchi_hlx_meanW3,RVI_meanW3,RFDI_meanW3,RFDI_VH_meanW3,block
96,102.434958,2.946571,Healthy,AHCensus_Basemap,0.10419433895084593,0.023445427417755127,0.02134038983947701,0.08804876357316971,0.8674096067746481,0.15740415867831972,41.58192867702908,-20.834331512451172,-9.237890455457899,-16.2582557466295,-21.07671356201172,1.0877934433967595,0.6326313015953213,0.08398519981053292,51217_1473
97,102.433993,2.948068,Healthy,AHCensus_Basemap,0.13460213939348856,0.018251020564801164,0.015872834560771782,0.08666842679182689,0.7169090112050375,0.29106058677037555,30.805018530951607,-18.84056239657932,-11.294816017150879,-10.530805905659994,-21.07671356201172,0.780888305725289,0.7611953777104581,0.21662941180128267,51216_1474
98,102.439404,2.949246,Healthy,AHCensus_Basemap,0.12217312968439525,0.016781888177825346,0.016812186688184738,0.0619845295117961,0.8442235456572639,0.37961726718478733,43.45054668850369,-16.73963885837131,-11.518423928154839,-13.98448657989502,-21.07671356201172,0.7780690312527928,0.758455816335251,0.32683191367282505,51219_1474
99,102.434764,2.946369,Healthy,AHCensus_Basemap,0.12459494339095221,0.01736931275162432,0.01415032096621063,0.08062072015470928,0.8358186682065328,0.34962817033131915,41.475227779812286,-17.60329967074924,-11.071970091925728,-13.263237529330784,-21.07671356201172,0.8009648741724668,0.7553001970555167,0.2142829766328166,51217_1473
100,102.433687,2.947249,Healthy,AHCensus_Basemap,0.1500341064400143,0.01999149326648977,0.0201515584356255,0.11188994016912249,0.8727530704604255,0.4675987859567006,47.81459638807509,-13.554039107428657,-10.547614415486654,-14.720183266533745,-20.96908696492513,0.7609695597321566,0.7648413732873306,0.14563063897609016,51216_1473
101,102.432511,2.947237,Healthy,AHCensus_Basemap,0.1179964625173145,0.015447506163683202,0.017013211424152058,0.09520942221085231,0.8216889897982279,0.2927273197306527,37.063515981038414,-18.126385582817925,-10.719145562913683,-12.471524238586426,-21.07671356201172,0.7448858262461361,0.7684795151647357,0.10687810205386779,51216_1473
102,102.433022,2.947991,Healthy,AHCensus_Basemap,0.1809589664141337,0.0248297777854734,0.025051970241798296,0.1590108714169926,0.776082436243693,0.3287234670586056,33.22837617662218,-17.025360319349502,-9.879948721991646,-10.036201159159342,-21.043498357137043,0.7769305740121081,0.7586867262148266,0.06455894775007481,51216_1473
103,102.434038,2.947997,Healthy,AHCensus_Basemap,0.14990364263455072,0.018707095334927242,0.01520476821396086,0.0782865434885025,0.7499532832039727,0.30942853622966343,34.144517262776695,-18.078502231174046,-11.238539271884495,-10.89765124850803,-21.00970395406087,0.7389632641364529,0.7781031557039552,0.31384828753077126,51217_1473
104,102.4343,2.94513,Healthy,AHCensus_Basemap,0.1366709048549334,0.01296170831968387,0.014532500981456704,0.06689162510964605,0.7886558042632209,0.3845582803090413,40.82878706190321,-15.859858194986979,-12.10925653245714,-12.506428718566895,-21.07671356201172,0.5854204637564863,0.8267528977181211,0.3427903934846417,51217_1472
105,102.432509,2.947371,Healthy,AHCensus_Basemap,0.12099358687798183,0.02083189899308814,0.02000307271050082,0.10630930877394146,0.8298048377037048,0.2564187877708011,37.392278883192276,-18.425437715318466,-10.177811728583443,-12.44061024983724,-21.07671356201172,0.9123769542545246,0.7062319389897821,0.06460224829923375,51216_1473
106,102.434721,2.946443,Healthy,AHCensus_Basemap,0.12292069693406422,0.017134603526857164,0.014175380166206095,0.07522222772240639,0.8439061376783583,0.40273409419589573,44.114983876546226,-16.086057239108616,-11.60981814066569,-13.538528760274252,-21.056570265028213,0.7999101386934556,0.7553166003647522,0.2407275924404308,51217_1473
107,102.434381,2.94528,Healthy,AHCensus_Basemap,0.14440058916807175,0.011708376308282217,0.013840931053790782,0.09974381907118691,0.7348705927530924,0.48038701547516716,35.42185253567166,-16.467640029059517,-13.42547172970242,-11.142862213982475,-20.81913799709744,0.5156220468393882,0.8499973877534188,0.18291129589632757,51217_1472
108,102.440126,2.947066,Healthy,AHCensus_Basemap,0.16152683231565687,0.029114724240369268,0.020778405997488234,0.12865036808782154,0.8449048201243082,0.3114391730891334,40.28483242458768,-16.846522861056858,-9.352426528930664,-11.760143174065483,-20.84700372483995,0.9683334949630094,0.6945605694127559,0.1132978889524128,51220_1473
109,102.439787,2.946716,Healthy,AHCensus_Basemap,0.1754749988516172,0.02223834664457374,0.022814780059787963,0.11982026033931309,0.8219744894239638,0.17363533708784315,40.70573637220595,-19.155414581298828,-9.35834895239936,-11.468888600667318,-20.666473812527126,0.732830903476732,0.775044556665982,0.1884714934631551,51219_1473
110,102.439629,2.946441,Healthy,AHCensus_Basemap,0.1450421479013231,0.019940592245095305,0.023325471621420648,0.08426285369528665,0.832156221071879,0.3119000726275974,40.39261160956489,-17.048833423190647,-10.966330316331652,-11.544465912712944,-18.662918514675564,0.7660295516071934,0.7582705654252258,0.26505873741454,51219_1473
111,102.433733,2.947177,Healthy,AHCensus_Basemap,0.1497958070702023,0.01874995490329133,0.01918011520885759,0.11379213879505794,0.8528470198313395,0.442118850019243,44.07574166191949,-14.70650577545166,-10.554206742180718,-12.820737414889866,-21.038496229383682,0.7264755284488377,0.777509031568055,0.1365907236651427,51216_1473
112,102.434075,2.948071,Healthy,AHCensus_Basemap,0.14160456591182286,0.018466984646187887,0.015457389565805594,0.08614397876792484,0.766970713933309,0.3429325686560737,34.97048780653212,-17.342251671685112,-11.120236502753365,-11.040740860833061,-21.07671356201172,0.7615411372411783,0.7692658741442582,0.2435167575796579,51217_1474
113,102.433533,2.947112,Healthy,AHCensus_Basemap,0.1430155643158489,0.015495418260494867,0.016507595053149596,0.13833686295482847,0.8367720312542386,0.5380483931965299,42.64326180352105,-14.108854399787056,-11.41991827223036,-12.01554807027181,-20.954723993937176,0.6506784213142075,0.8044877647133152,0.01662932645155122,51216_1473
