id,Long,Lat,Class,Location,HH_meanW3,HV_meanW3,VV_meanW3,VH_meanW3,HA_Aniso_meanW3,HA_Iso_meanW3,HA_Alpha_meanW3,YA_Double_meanW3,YA_Vol_meanW3,YA_Surf_meanW3,YA_He_meanW3,RVI_meanW3,RFDI_meanW3,RFDI_VH_meanW3,block
1,102.4871081,2.953860775,Unhealthy,Serting_Basemap,0.14995572136508095,0.02066054567694664,0.022664665141039424,0.11734554668267567,,,,,,,,0.7725681203516884,0.7578127099468497,0.12199783009102326,51243_1476
2,102.4871104,2.953791011,Healthy,Serting_Basemap,0.1703936970896191,0.02032220922410488,0.02088148622877068,0.11262291669845581,,,,,,,,0.7010087657724371,0.7868850100979492,0.20412504982630633,51243_1476
3,102.4871116,2.953708456,Healthy,Serting_Basemap,0.1908467577563392,0.021036934521463182,0.02179503854778078,0.08090214100148943,,,,,,,,0.6607189861778048,0.8014294135116213,0.40458164598793045,51243_1476
5,102.4871139,2.95354916,Healthy,Serting_Basemap,0.16392328838507333,0.020644977481828794,0.021266631471614044,0.07545516060458289,,,,,,,,0.7292472233378056,0.7762889802874725,0.36957432113829614,51243_1476
6,102.4871139,2.953475908,Healthy,Serting_Basemap,0.160518825882011,0.022015001624822617,0.021349161138965025,0.11764540854427549,,,,,,,,0.779644001204228,0.7587844190250332,0.15412987016882992,51243_1476
8,102.4871848,2.953894495,Healthy,Serting_Basemap,0.16375253266758388,0.02138636654449834,0.02281710629661878,0.10592998978164461,,,,,,,,0.7460066398733316,0.768969496572413,0.21440967831656635,51243_1476
9,102.4872476,2.953929377,Healthy,Serting_Basemap,0.15901696350839403,0.021406230620212026,0.023301962349149916,0.09036630143721898,,,,,,,,0.7606662365882162,0.762710878458857,0.27528175190964316,51243_1476
11,102.4872488,2.954021234,Healthy,Serting_Basemap,0.11913342277208964,0.022970734991961055,0.023291880264878273,0.08646695067485173,,,,,,,,0.975574816028242,0.6767056593783612,0.15888333055809378,51243_1477
12,102.487315,2.954051465,Healthy,Serting_Basemap,0.12294960353109571,0.022290675797396235,0.019829951433671847,0.08499609596199459,,,,,,,,0.9517748907906897,0.6930510475405915,0.18251643415382224,51243_1477
13,102.4873767,2.954088673,Healthy,Serting_Basemap,0.11088670707411236,0.025112168242534,0.024201933708455827,0.08410250229967965,,,,,,,,1.0840975570217528,0.6307003541894695,0.13736249744511606,51243_1477
15,102.4875162,2.954161926,Healthy,Serting_Basemap,0.16898561517397562,0.025574451519383326,0.026980001893308427,0.091058568822013,,,,,,,,0.8279384475961313,0.7371048236769926,0.2996684838495165,51243_1477
17,102.4875104,2.954086347,Healthy,Serting_Basemap,0.19258240362008414,0.02620399970975187,0.02655389594535033,0.09295971526039971,,,,,,,,0.7719992592797636,0.7604604371118301,0.34888964454796373,51243_1477
18,102.4874441,2.954045651,Healthy,Serting_Basemap,0.2169277204407586,0.024780333869987063,0.027416989414228335,0.09167105125056373,,,,,,,,0.674511887404456,0.7949564904599424,0.4058884243242664,51243_1477
19,102.4874464,2.953973561,Healthy,Serting_Basemap,0.26755625671810573,0.022923089770807162,0.024820994171831343,0.09275176127751668,,,,,,,,0.5421999236790607,0.8421706049129928,0.4851529433428064,51243_1476
20,102.487379,2.953938679,Healthy,Serting_Basemap,0.25766266385714215,0.018266329127881262,0.01767557704200347,0.0958656660384602,,,,,,,,0.46856129705922367,0.867601233706726,0.4576634575974744,51243_1476
21,102.4873139,2.953897983,Healthy,Serting_Basemap,0.18361697759893206,0.020170668760935467,0.020234953612089157,0.09037975553009245,,,,,,,,0.6608099843406874,0.8020422815491359,0.340285889558159,51243_1476
22,102.4871813,2.953981701,Healthy,Serting_Basemap,0.12628283434444004,0.02224953927927547,0.02695449110534456,0.09650545153352949,,,,,,,,0.9001696734947217,0.700408217596504,0.1336577580529565,51243_1476
23,102.4871848,2.953822405,Healthy,Serting_Basemap,0.17451385656992593,0.02067287928528256,0.020511324000027444,0.10148673049277729,,,,,,,,0.6996758352935387,0.7881733182871821,0.26459047371720973,51243_1476
24,102.4871813,2.953743338,Healthy,Serting_Basemap,0.16696720321973166,0.019155971705913544,0.019717359087533422,0.08660126187735134,,,,,,,,0.6811117939699828,0.7941581244402669,0.31693981075923955,51243_1476
25,102.4871848,2.953663109,Healthy,Serting_Basemap,0.16292410261101192,0.01802201124115123,0.019326370416416064,0.07625183670057191,,,,,,,,0.6604659892708252,0.8008024504369783,0.3623786997969251,51243_1476
26,102.4871802,2.953592182,Healthy,Serting_Basemap,0.1625933912065294,0.018512234402199585,0.018748475549121697,0.07585590249962276,,,,,,,,0.6782083641132957,0.795564225683475,0.36375653439257283,51243_1476
27,102.4871813,2.953514278,Healthy,Serting_Basemap,0.17080231755971909,0.01955990410513348,0.01862507003049056,0.0892492069138421,,,,,,,,0.6846692311975483,0.7944980476265905,0.3136036630085908,51243_1476
28,102.4871778,2.953436374,Healthy,Serting_Basemap,0.18608621839019987,0.02088537398311827,0.01906667184084654,0.11271886610322529,,,,,,,,0.6766585535705292,0.7981812504447764,0.2455358228303138,51243_1476
29,102.4872441,2.953475908,Healthy,Serting_Basemap,0.22331035137176514,0.02319887363248401,0.022563940948910184,0.10210283762878841,,,,,,,,0.6349939916352795,0.8117808886699138,0.37247265273802577,51243_1476
30,102.4872453,2.953554974,Healthy,Serting_Basemap,0.19243748651610482,0.017846045705179375,0.017433988137377635,0.08370173143015967,,,,,,,,0.581390667719487,0.8302668257788277,0.3937715037170296,51243_1476
31,102.4872453,2.953630552,Healthy,Serting_Basemap,0.1765569547812144,0.01690002292808559,0.016765962147878274,0.0767843450109164,,,,,,,,0.5952730704403121,0.8252839145096066,0.3938268645979257,51243_1476
