id,Long,Lat,Class,Location,HH_meanW3,HV_meanW3,VV_meanW3,VH_meanW3,HA_Entropy_meanW3,HA_Anisotropy_meanW3,HA_Alpha_meanW3,YA_Yamaguchi_dbl_r_meanW3,YA_Yamaguchi_vol_g_meanW3,YA_Yamaguchi_surf_b_meanW3,YA_Yamaguchi_hlx_meanW3,RVI_meanW3,RFDI_meanW3,RFDI_VH_meanW3,block
903,102.6717776,2.744502951,Healthy,Palong_Basemap,0.09326622303989199,0.016548083577719,0.017456111084255908,0.06258734522594346,0.9079128768708971,0.2988681197166443,47.58646477593316,-19.383763207329643,-10.985638194613987,-18.072785271538628,-20.495479371812607,0.9204981796075992,0.6986169819322035,0.19684424396123126,51335_1372
904,102.6717526,2.744568924,Healthy,Palong_Basemap,0.09183544086085425,0.016036752611398697,0.016448962088260386,0.06686962520082791,0.8897360430823432,0.2791147397624122,45.01598570081923,-19.920717663235134,-11.197845141092936,-16.634436395433212,-20.09160698784722,0.9140491088970459,0.7026712427883708,0.15730950674456196,51335_1372
905,102.6717008,2.744483743,Healthy,Palong_Basemap,0.07714951286713283,0.018931218112508457,0.019883453742497496,0.059327584173944264,0.9228467676374648,0.23120773997571734,49.4165047539605,-20.516064749823677,-10.352537579006619,-19.96453136867947,-20.845038731892902,1.1227198386123838,0.6059310140652483,0.1305854907495907,51335_1372
906,102.6717234,2.744412759,Healthy,Palong_Basemap,0.0779169752366013,0.018376313149929047,0.01897802400506205,0.05581840293274985,0.930338548289405,0.2543567634291119,50.68619155883789,-20.1938287946913,-10.202750205993652,-20.61969142489963,-21.023021274142796,1.0999859114875137,0.6183261895436618,0.16524103499275772,51335_1372
907,102.6718044,2.744434472,Healthy,Palong_Basemap,0.09042566269636154,0.016883692911101714,0.01784064382728603,0.0599721624619431,0.9082723127471076,0.3629845447010464,47.39732403225369,-17.538316938612198,-11.62674946255154,-16.972876654730904,-20.574143091837566,0.9509683305276635,0.685326730078184,0.20248630724788688,51335_1372
908,102.671877,2.744425286,Healthy,Palong_Basemap,0.10640572673744625,0.013897987600002024,0.015416632613374127,0.06837329020102818,0.8834020694096884,0.3823399908012814,44.58125008477105,-17.237619188096787,-11.963400416904026,-14.930868996514214,-20.586462020874023,0.7431168187629285,0.7689516458150479,0.21760298920668616,51335_1372
909,102.6718403,2.74437852,Healthy,Palong_Basemap,0.0997145449121793,0.016327589025927916,0.016507144499984052,0.060700775434573494,0.9188047250111898,0.33751723501417374,48.73429489135742,-17.20801332261827,-11.422481324937609,-18.220713721381294,-20.87548361884223,0.8773741309340215,0.7185920583874048,0.24320475995231555,51335_1372
910,102.6717751,2.744366828,Healthy,Palong_Basemap,0.09147216545210944,0.01656757729748885,0.01798730416016446,0.058436940527624555,0.9289476540353563,0.3037490530146493,50.432042863633896,-18.15574010213216,-10.763496081034342,-20.05616569519043,-21.017120361328125,0.9294923922747046,0.6933058728973982,0.22036836727550674,51335_1372
913,102.6723342,2.744613602,Healthy,Palong_Basemap,0.1874391014377276,0.03542468655440542,0.034795316557089485,0.24781668268971974,0.7524276243315803,0.1721918144159847,33.03642590840658,-20.650344848632812,-8.204094780815971,-8.885701126522488,-19.012409210205078,0.9669504115805583,0.6820956255517303,-0.13871747017223546,51336_1372
914,102.672313,2.744527169,Healthy,Palong_Basemap,0.2675759908225801,0.039808804997139506,0.043898688008387886,0.4635316812329822,0.7062884105576409,0.19251932369338143,30.145688586764866,-19.681191550360786,-8.16830317179362,-7.742677370707194,-19.935537762112087,0.8143102001160121,0.7409839033125941,-0.2680257613211177,51336_1372
915,102.6722992,2.744839081,Healthy,Palong_Basemap,0.18096322152349684,0.0247227946917216,0.02575244526896212,0.09849922110637029,0.8018352455563016,0.23310761981540257,39.353671603732636,-16.285437901814777,-10.034776263766819,-10.48648018307156,-18.415929158528645,0.7721009823513615,0.7596064608898543,0.29508079740913756,51336_1372
916,102.6722428,2.744780206,Healthy,Palong_Basemap,0.16778676708539328,0.02645170957677894,0.02821607432431645,0.09288844052288267,0.8127452996042039,0.2071667876508501,38.7940419514974,-17.4064884185791,-9.449464374118381,-10.933055559794107,-19.702171325683594,0.8501741825832583,0.7276367686636579,0.2873243192158974,51336_1372
917,102.6722441,2.744851608,Healthy,Palong_Basemap,0.17772486309210458,0.023192383555902377,0.02406094864838653,0.08766768624385197,0.79959550831053,0.21525492270787558,39.0877554151747,-16.312726338704426,-9.890989621480307,-10.76798258887397,-19.59787983364529,0.7476271736370758,0.7691349653369097,0.33933573897830316,51336_1372
919,102.6721213,2.744782711,Unhealthy,Palong_Basemap,0.1378882916437255,0.02258365497820907,0.020978662392331496,0.09523674017853206,0.8198080129093595,0.1785357760058509,38.38508733113607,-19.0524836646186,-9.62671693166097,-11.778449800279406,-20.721006393432617,0.8854848018680612,0.7185345419730559,0.18295569176677876,51336_1372
922,102.6722791,2.744941799,Unhealthy,Palong_Basemap,0.17513322664631736,0.022018762305378914,0.01893633510917425,0.09235100075602531,0.7924317518870035,0.30823735230498844,40.48596954345703,-15.739290767245823,-10.710687531365288,-10.957416428460014,-19.375432120429146,0.7397935993054919,0.7766315985706471,0.3094845131401831,51336_1372
923,102.6723079,2.74502698,Healthy,Palong_Basemap,0.16624846557776132,0.02153362871872054,0.01731092244800594,0.08824600444899665,0.800703207651774,0.341840922832489,41.36275058322482,-15.668005413479275,-10.852421654595268,-11.631356981065538,-20.240083694458008,0.7601446396457883,0.7706530135432198,0.30649963089792626,51336_1372
924,102.6722453,2.74502698,Unhealthy,Palong_Basemap,0.16802144133382374,0.022990718070003722,0.018349654248191252,0.07463725697663096,0.7909260325961642,0.28905338876777226,41.655740102132164,-16.17944844563802,-10.706333266364204,-12.040818638271755,-20.699044545491535,0.7915805487330408,0.7592748216473696,0.38483757230790944,51336_1372
925,102.6721714,2.744993158,Unhealthy,Palong_Basemap,0.14129374590184954,0.020603815300597086,0.01851101416266627,0.05641814611024327,0.7954848474926419,0.2523375004529953,42.43098068237305,-16.824441803826225,-10.800532870822483,-12.635004043579102,-20.853531731499565,0.8200018011769986,0.7454709614206873,0.42928930034423507,51336_1372
