estate,k,pos_rate,neighbor_u_rate_if_u,neighbor_u_rate_if_h,difference,permutation_p_one_sided
AHCensus_Basemap,10,0.06371963361210672,0.11875,0.059634198213526154,0.05911580178647384,0.001996007984031936
Palong_Basemap,10,0.09212344541685859,0.33599999999999997,0.059665144596651454,0.2763348554033485,0.001996007984031936
Serting_Basemap,10,0.09238152369526095,0.2545454545454546,0.06953073364177133,0.18501472090368326,0.001996007984031936
