estate,feature_set,method,n_clusters,ari,ami,silhouette_sample,max_cluster_size,max_cluster_unhealthy_rate,max_cluster_enrichment,unhealthy_in_max_cluster,total_unhealthy,bic,aic
AHCensus_Basemap,all14,kmeans,2,0.0009384097394588842,0.0005935113629400553,0.1888653565342341,1217,0.0714872637633525,1.1219032456861133,87,160,,
AHCensus_Basemap,all14,kmeans,3,-0.004487324442252306,0.002050249156976712,0.19823987970233747,912,0.07346491228070176,1.1529399671052634,67,160,,
AHCensus_Basemap,all14,kmeans,4,-0.0017435401066626455,0.0011905210368918341,0.15583030536760986,596,0.07718120805369127,1.2112625838926177,46,160,,
AHCensus_Basemap,all14,kmeans,5,-0.0009197279380332082,0.00040113027809958045,0.146262366078042,582,0.07731958762886598,1.2134342783505156,45,160,,
AHCensus_Basemap,all14,kmeans,6,-0.0026110043969088978,0.00150764762297791,0.13761914270472042,551,0.0780399274047187,1.2247391107078043,43,160,,
AHCensus_Basemap,all14,kmeans,7,-0.00101911789141515,0.0009521527624313613,0.13570273174120628,379,0.09234828496042216,1.4492908970976255,35,160,,
AHCensus_Basemap,all14,kmeans,8,-0.0014950054920487795,0.0011449513403525061,0.14031272433242803,370,0.08648648648648649,1.3572972972972974,32,160,,
AHCensus_Basemap,all14,kmeans,9,-0.0012536464443151376,0.0025501849805885444,0.13541433660070148,359,0.10306406685236769,1.6174616991643456,37,160,,
AHCensus_Basemap,all14,kmeans,10,-0.0015096909259547289,0.001872512910059101,0.13904408019178965,323,0.11455108359133127,1.7977360681114554,37,160,,
AHCensus_Basemap,all14,kmeans,11,-0.0012170067655412006,0.0003516011410451819,0.13643301546950695,265,0.08679245283018867,1.3620990566037736,23,160,,
AHCensus_Basemap,all14,kmeans,12,-0.000869417246348717,0.0004710279835875175,0.13791506059415407,278,0.09352517985611511,1.4677607913669066,26,160,,
AHCensus_Basemap,all14,gmm_diag,2,0.0004706179540088978,0.0008905780014578964,,1244,0.07234726688102894,1.135399919614148,90,160,92529.42842671653,92197.20755424455
AHCensus_Basemap,all14,gmm_diag,3,-0.004112940523258089,0.002055802298780119,,912,0.07456140350877193,1.1701480263157895,68,160,88038.99556959432,87537.75004270677
AHCensus_Basemap,all14,gmm_diag,4,-0.0059645333718679125,0.003915931332282078,,688,0.08430232558139535,1.3230196220930233,58,160,85829.93407175603,85159.66389045291
AHCensus_Basemap,all14,gmm_diag,5,-0.0025204265314067867,0.001920838728524156,,635,0.07716535433070866,1.211013779527559,49,160,83736.10431030925,82896.80947459055
AHCensus_Basemap,all14,gmm_diag,6,-0.0003973918673177798,0.0012213236276308347,,362,0.09116022099447514,1.4306457182320444,33,160,82286.49242845477,81278.17293832051
AHCensus_Basemap,all14,gmm_diag,7,-0.0002903688839191148,0.0018600517693674811,,324,0.09567901234567901,1.5015625000000001,31,160,80424.38546089668,79247.04131634685
AHCensus_Basemap,all14,gmm_diag,8,-0.0003837400226000067,0.0011431161399414757,,317,0.10410094637223975,1.6337342271293378,33,160,80341.82010707741,78995.45130811201
AHCensus_Basemap,extended_indices,kmeans,2,0.006956774766810554,0.0020604527663719142,0.2965987282260993,1058,0.07750472589792061,1.2163397920604917,82,160,,
AHCensus_Basemap,extended_indices,kmeans,3,-0.0008975800771705261,0.0013858123255763913,0.2552020720352077,880,0.08068181818181819,1.2662002840909092,71,160,,
AHCensus_Basemap,extended_indices,kmeans,4,-0.0010950719226613397,0.000521067035643436,0.2381089250662253,648,0.08024691358024691,1.2593750000000001,52,160,,
AHCensus_Basemap,extended_indices,kmeans,5,-0.0007530385982940807,-0.0002437393549870041,0.23434267532623584,589,0.07130730050933787,1.1190789473684213,42,160,,
