stage,cv,estate,model,feature_set,n_mean,n_std,n_pos_mean,n_pos_std,n_neg_mean,n_neg_std,pos_rate_mean,pos_rate_std,pr_auc_mean,pr_auc_std,pr_auc_lift_mean,pr_auc_lift_std,roc_auc_mean,roc_auc_std,precision_at_1pct_mean,precision_at_1pct_std,recall_at_1pct_mean,recall_at_1pct_std,enrichment_at_1pct_mean,enrichment_at_1pct_std,precision_at_5pct_mean,precision_at_5pct_std,recall_at_5pct_mean,recall_at_5pct_std,enrichment_at_5pct_mean,enrichment_at_5pct_std,precision_at_10pct_mean,precision_at_10pct_std,recall_at_10pct_mean,recall_at_10pct_std,enrichment_at_10pct_mean,enrichment_at_10pct_std,precision_at_20pct_mean,precision_at_20pct_std,recall_at_20pct_mean,recall_at_20pct_std,enrichment_at_20pct_mean,enrichment_at_20pct_std
supervised,spatial_5fold_repeated,AHCensus_Basemap,logreg_l2,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.07346613866086352,0.0,0.009746505048756793,0.0,0.5393103998298597,0.0,0.07692307692307693,0.0,0.012500000000000002,2.1245936804851847e-18,1.2072115384615387,0.0,0.08730158730158728,1.6996749443881478e-17,0.06875,0.0,1.3700892857142855,2.7194799110210365e-16,0.06746031746031746,0.0,0.10625,0.0,1.0587053571428573,0.0,0.073558648111332,0.0,0.23125000000000004,3.3993498887762956e-17,1.1544110337972167,0.0
supervised,spatial_5fold_repeated,AHCensus_Basemap,logreg_l1,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.07378839458650376,9.461867889696121e-07,0.010068760974397031,9.461867889696121e-07,0.5299934425067349,4.060839088857652e-06,0.038461538461538464,0.0,0.006250000000000001,1.0622968402425924e-18,0.6036057692307694,0.0,0.1111111111111111,0.0,0.08749999999999998,1.6996749443881478e-17,1.7437500000000001,0.0,0.08333333333333333,0.0,0.13125,0.0,1.3078125,0.0,0.07554671968190854,0.0,0.23749999999999996,3.3993498887762956e-17,1.1856113320079522,0.0
supervised,spatial_5fold_repeated,AHCensus_Basemap,svm_rbf,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06795347505905933,0.0,0.004233841446952602,0.0,0.5157459591663123,0.0,0.07692307692307693,0.0,0.012500000000000002,2.1245936804851847e-18,1.2072115384615387,0.0,0.07936507936507936,0.0,0.0625,0.0,1.2455357142857144,0.0,0.06349206349206349,0.0,0.10000000000000002,1.6996749443881478e-17,0.9964285714285714,0.0,0.061630218687872766,0.0,0.19375,0.0,0.9672092445328033,0.0
supervised,spatial_5fold_repeated,AHCensus_Basemap,knn_25,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.0910610842238976,0.0,0.02734145061179087,0.0,0.5443986601446192,0.0,0.15384615384615385,0.0,0.025000000000000005,4.2491873609703695e-18,2.4144230769230774,0.0,0.1111111111111111,0.0,0.08749999999999998,1.6996749443881478e-17,1.7437500000000001,0.0,0.10317460317460318,1.6996749443881478e-17,0.1625,0.0,1.6191964285714286,0.0,0.08548707753479125,0.0,0.26875,0.0,1.3416128230616302,0.0
supervised,spatial_5fold_repeated,AHCensus_Basemap,lda_shrink,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.07296652051177537,0.0,0.009246886899668641,0.0,0.537914717141642,0.0,0.038461538461538464,0.0,0.006250000000000001,1.0622968402425924e-18,0.6036057692307694,0.0,0.08730158730158728,1.6996749443881478e-17,0.06875,0.0,1.3700892857142855,2.7194799110210365e-16,0.07539682539682539,0.0,0.11874999999999998,1.6996749443881478e-17,1.1832589285714286,0.0,0.0775347912524851,0.0,0.24375,0.0,1.216811630218688,0.0
supervised,spatial_5fold_repeated,AHCensus_Basemap,gaussian_nb,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.07695407880968451,0.0,0.013234445197577785,0.0,0.5540780518928117,0.0,0.038461538461538464,0.0,0.006250000000000001,1.0622968402425924e-18,0.6036057692307694,0.0,0.07936507936507936,0.0,0.0625,0.0,1.2455357142857144,0.0,0.09523809523809523,0.0,0.15,0.0,1.4946428571428572,0.0,0.07554671968190854,0.0,0.23749999999999996,3.3993498887762956e-17,1.1856113320079522,0.0
supervised,spatial_5fold_repeated,AHCensus_Basemap,rf_balanced,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.07197036400139355,0.0012704420829077203,0.008250730389286828,0.0012704420829077203,0.5225223309230115,0.004676836335139096,0.08974358974358976,0.022205779584216375,0.014583333333333332,0.00360843918243516,1.4084134615384618,0.34849195334979577,0.08730158730158728,0.013746434980705373,0.06874999999999999,0.010825317547305485,1.370089285714286,0.21573311397844497,0.07407407407407407,0.00998655348580787,0.11666666666666665,0.015728821740147395,1.1625,0.15672647376789728,0.0728959575878065,0.0011478136564406066,0.22916666666666666,0.0036084391824351644,1.1440109343936382,0.018013500570764774
supervised,spatial_5fold_repeated,AHCensus_Basemap,extratrees_balanced,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.07131959673208112,0.0007770488124650488,0.007599963119974393,0.0007770488124650488,0.5199795299872395,0.0017502840662603906,0.12820512820512822,0.022205779584216375,0.020833333333333332,0.003608439182435162,2.0120192307692313,0.3484919533497959,0.06349206349206349,0.0,0.05000000000000001,8.498374721940739e-18,0.9964285714285714,0.0,0.06613756613756613,0.009164289987136916,0.10416666666666667,0.014433756729740649,1.0379464285714286,0.14382207598563,0.06560636182902585,0.0019880715705765453,0.20624999999999996,0.006249999999999992,1.0296098409542742,0.03120029821073561
supervised,spatial_5fold_repeated,AHCensus_Basemap,hist_gbdt_balanced,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.07858374011313303,0.006143443290528909,0.014864106501026306,0.006143443290528909,0.536005954912803,0.007689916807799038,0.14102564102564105,0.08006407690254358,0.02291666666666667,0.01301041249666333,2.2132211538461544,1.2565056068892932,0.10052910052910052,0.01652115872592169,0.07916666666666666,0.013010412496663327,1.5776785714285715,0.25927893475493347,0.09259259259259257,0.020363497775582873,0.14583333333333334,0.03207250899654302,1.453125,0.31957964321555377,0.0781974817760106,0.002295627312881221,0.24583333333333335,0.007216878364870329,1.2272117296222664,0.03602700114152967
supervised,spatial_5fold_repeated,AHCensus_Basemap,xgboost_balanced,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06797857875346659,0.001367952619104954,0.004258945141359873,0.001367952619104954,0.4976011980717425,0.001367477280745701,0.07692307692307693,0.038461538461538464,0.012500000000000002,0.0062499999999999995,1.2072115384615387,0.6036057692307693,0.07671957671957672,0.012123216124221799,0.060416666666666674,0.009547032697824668,1.2040178571428573,0.19025872304950586,0.07275132275132275,0.002291072496784229,0.11458333333333333,0.003608439182435156,1.1417410714285714,0.03595551899640745,0.07223326706428097,0.0011478136564406066,0.22708333333333333,0.0036084391824351644,1.1336108349900595,0.018013500570764774
supervised,spatial_5fold_repeated,AHCensus_Basemap,mlp_64_16,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06561874892771215,0.005548166547807041,0.0018991153156054281,0.005548166547807041,0.49410357294768187,0.024177538738420937,0.038461538461538464,0.038461538461538464,0.006250000000000001,0.00625,0.6036057692307694,0.6036057692307694,0.06613756613756613,0.032075014954979206,0.052083333333333336,0.02525907427704613,1.0379464285714286,0.503377265949705,0.06746031746031746,0.017297218029923307,0.10625,0.02724311839712922,1.058705357142857,0.27145821545710885,0.06560636182902585,0.006886881938643643,0.20625000000000002,0.02165063509461097,1.0296098409542744,0.10808100342458862
supervised,spatial_5fold_repeated,AHCensus_Basemap,logreg_l2,raw4,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.08461744472859127,0.0,0.020897811116484546,0.0,0.563180561463207,0.0,0.15384615384615385,0.0,0.025000000000000005,4.2491873609703695e-18,2.4144230769230774,0.0,0.1111111111111111,0.0,0.08749999999999998,1.6996749443881478e-17,1.7437500000000001,0.0,0.10317460317460318,1.6996749443881478e-17,0.1625,0.0,1.6191964285714286,0.0,0.08151093439363817,0.0,0.25625,0.0,1.279212226640159,0.0
supervised,spatial_5fold_repeated,AHCensus_Basemap,xgboost_balanced,raw4,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06730831478095688,0.0005588230143535378,0.0035886811688501477,0.0005588230143535378,0.5099607436551822,0.004300023546594514,0.038461538461538464,0.038461538461538464,0.006250000000000001,0.00625,0.6036057692307694,0.6036057692307694,0.06613756613756613,0.004582144993568458,0.052083333333333336,0.0036084391824351605,1.0379464285714286,0.07191103799281502,0.07275132275132275,0.002291072496784229,0.11458333333333333,0.0036084391824351566,1.1417410714285714,0.03595551899640745,0.07223326706428097,0.0022956273128812133,0.22708333333333333,0.007216878364870329,1.1336108349900595,0.03602700114152955
supervised,spatial_5fold_repeated,AHCensus_Basemap,logreg_l2,existing_indices,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.05506526067248544,8.498374721940739e-18,-0.008654372939621277,0.0,0.4401850276478094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0375,0.0,0.7473214285714286,0.0,0.04365079365079364,8.498374721940739e-18,0.06875,0.0,0.6850446428571427,1.3597399555105182e-16,0.05168986083499006,0.0,0.1625,0.0,0.8112077534791253,0.0
supervised,spatial_5fold_repeated,AHCensus_Basemap,xgboost_balanced,existing_indices,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06503305293226984,0.0010438119833546273,0.0013134193201631145,0.0010438119833546273,0.4627835672763363,0.005167353801577245,0.038461538461538464,0.038461538461538464,0.006250000000000001,0.00625,0.6036057692307694,0.6036057692307694,0.09523809523809523,0.0,0.075,0.0,1.4946428571428572,0.0,0.08862433862433862,0.004582144993568458,0.1395833333333333,0.007216878364870312,1.3908482142857144,0.07191103799281502,0.06693174287607688,0.005003203734440521,0.21041666666666667,0.015728821740147395,1.0504100397614315,0.07851902860737589
supervised,spatial_5fold_repeated,AHCensus_Basemap,logreg_l2,extended_indices,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.0821766066287512,0.0,0.01845697301664448,0.0,0.5657459591663121,0.0,0.11538461538461538,1.6996749443881478e-17,0.01875,0.0,1.810817307692308,0.0,0.12698412698412698,0.0,0.10000000000000002,1.6996749443881478e-17,1.9928571428571429,0.0,0.08333333333333333,0.0,0.13125,0.0,1.3078125,0.0,0.0775347912524851,0.0,0.24375,0.0,1.216811630218688,0.0
