stage,cv,estate,model,feature_set,repeat,n,n_pos,n_neg,pos_rate,pr_auc,pr_auc_lift,roc_auc,precision_at_1pct,recall_at_1pct,enrichment_at_1pct,precision_at_5pct,recall_at_5pct,enrichment_at_5pct,precision_at_10pct,recall_at_10pct,enrichment_at_10pct,precision_at_20pct,recall_at_20pct,enrichment_at_20pct
cross_estate,leave_one_estate_out,AHCensus_Basemap,rf_balanced,all14,0,2511,160,2351,0.0637196336121067,0.0835537721473777,0.0198341385352709,0.5249760740110591,0.2692307692307692,0.04375,4.225240384615385,0.1111111111111111,0.0875,1.74375,0.0873015873015873,0.1375,1.3700892857142857,0.0616302186878727,0.19375,0.9672092445328032
cross_estate,leave_one_estate_out,AHCensus_Basemap,rf_balanced,all14_plus_ext,0,2511,160,2351,0.0637196336121067,0.0761829987204813,0.0124633651083746,0.5177025733730327,0.1538461538461538,0.025,2.414423076923077,0.1111111111111111,0.0875,1.74375,0.0753968253968253,0.11875,1.1832589285714286,0.0636182902584493,0.2,0.9984095427435388
cross_estate,leave_one_estate_out,AHCensus_Basemap,rf_balanced,all14_estate_z,0,2511,160,2351,0.0637196336121067,0.0739565111594386,0.0102368775473319,0.4833541578051892,0.1538461538461538,0.025,2.414423076923077,0.0634920634920634,0.05,0.9964285714285714,0.0714285714285714,0.1125,1.120982142857143,0.0656063618290258,0.20625,1.0296098409542744
cross_estate,leave_one_estate_out,AHCensus_Basemap,xgboost_balanced,local14_estate_z,0,2511,160,2351,0.0637196336121067,0.0729772046666311,0.0092575710545244,0.5171602509570395,0.1538461538461538,0.025,2.414423076923077,0.0793650793650793,0.0625,1.2455357142857144,0.0833333333333333,0.13125,1.3078125,0.0715705765407554,0.225,1.123210735586481
cross_estate,leave_one_estate_out,AHCensus_Basemap,logreg_l2,all14,0,2511,160,2351,0.0637196336121067,0.0729433352155101,0.0092237016034034,0.5367848787749893,0.0769230769230769,0.0125,1.2072115384615387,0.0793650793650793,0.0625,1.2455357142857144,0.0833333333333333,0.13125,1.3078125,0.0695825049701789,0.21875,1.0920104373757455
cross_estate,leave_one_estate_out,AHCensus_Basemap,logreg_l2,all14_plus_local,0,2511,160,2351,0.0637196336121067,0.0718958911628005,0.0081762575506937,0.5301121863037006,0.0769230769230769,0.0125,1.2072115384615387,0.0873015873015873,0.06875,1.3700892857142857,0.0674603174603174,0.10625,1.0587053571428573,0.0675944333996023,0.2125,1.06081013916501
cross_estate,leave_one_estate_out,AHCensus_Basemap,logreg_l2,all14_plus_ext,0,2511,160,2351,0.0637196336121067,0.0715776174934769,0.0078579838813701,0.5184921310080817,0.1538461538461538,0.025,2.414423076923077,0.0952380952380952,0.075,1.4946428571428572,0.0912698412698412,0.14375,1.4323660714285715,0.0656063618290258,0.20625,1.0296098409542744
cross_estate,leave_one_estate_out,AHCensus_Basemap,rf_balanced,local14,0,2511,160,2351,0.0637196336121067,0.0707530598750466,0.0070334262629399,0.5040913441088899,0.0384615384615384,0.00625,0.6036057692307694,0.1269841269841269,0.1,1.9928571428571429,0.0714285714285714,0.1125,1.120982142857143,0.0656063618290258,0.20625,1.0296098409542744
cross_estate,leave_one_estate_out,AHCensus_Basemap,xgboost_balanced,local14,0,2511,160,2351,0.0637196336121067,0.0705021271766698,0.0067824935645631,0.5144592726499362,0.0384615384615384,0.00625,0.6036057692307694,0.0793650793650793,0.0625,1.2455357142857144,0.0753968253968253,0.11875,1.1832589285714286,0.0854870775347912,0.26875,1.3416128230616302
cross_estate,leave_one_estate_out,AHCensus_Basemap,rf_balanced,local14_estate_z,0,2511,160,2351,0.0637196336121067,0.0699241068135622,0.0062044732014555,0.4985032964695874,0.0769230769230769,0.0125,1.2072115384615387,0.0873015873015873,0.06875,1.3700892857142857,0.0833333333333333,0.13125,1.3078125,0.0715705765407554,0.225,1.123210735586481
