estate,n,explained_variance_pc1,explained_variance_pc2,explained_variance_pc1_5,explained_variance_all_10
AHCensus_Basemap,2511,0.3285481035663087,0.2680906155671986,0.9134877356662395,0.9935945675521282
Palong_Basemap,2171,0.4093900503822545,0.2747364081700593,0.9244538861892124,0.9931702318474049
Serting_Basemap,1667,0.39318924382883874,0.18887234584837234,0.9125568896014545,0.9932831371178554
