stage,cv,estate,model,feature_set,n_mean,n_std,n_pos_mean,n_pos_std,n_neg_mean,n_neg_std,pos_rate_mean,pos_rate_std,pr_auc_mean,pr_auc_std,pr_auc_lift_mean,pr_auc_lift_std,roc_auc_mean,roc_auc_std,precision_at_1pct_mean,precision_at_1pct_std,recall_at_1pct_mean,recall_at_1pct_std,enrichment_at_1pct_mean,enrichment_at_1pct_std,precision_at_5pct_mean,precision_at_5pct_std,recall_at_5pct_mean,recall_at_5pct_std,enrichment_at_5pct_mean,enrichment_at_5pct_std,precision_at_10pct_mean,precision_at_10pct_std,recall_at_10pct_mean,recall_at_10pct_std,enrichment_at_10pct_mean,enrichment_at_10pct_std,precision_at_20pct_mean,precision_at_20pct_std,recall_at_20pct_mean,recall_at_20pct_std,enrichment_at_20pct_mean,enrichment_at_20pct_std
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,isolation_forest,all14_plus_ext,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.07103721233493966,0.0011480959017451603,0.007317578722832942,0.0011480959017451603,0.510978484332908,0.005387512326631736,0.07692307692307693,0.0,0.012500000000000002,2.1245936804851847e-18,1.2072115384615387,0.0,0.09788359788359786,0.012123216124221799,0.07708333333333334,0.009547032697824661,1.536160714285714,0.19025872304950597,0.08333333333333333,0.003968253968253968,0.13125,0.0062500000000000056,1.3078125,0.06227678571428563,0.07157057654075547,0.003976143141153077,0.225,0.012499999999999997,1.123210735586481,0.06240059642147111
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,pca_recon_10,all14_plus_ext,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.0702909304655103,0.0,0.006571296853403574,0.0,0.5088207145895365,0.0,0.11538461538461538,1.6996749443881478e-17,0.01875,0.0,1.810817307692308,0.0,0.09523809523809523,0.0,0.075,0.0,1.4946428571428572,0.0,0.06746031746031746,0.0,0.10625,0.0,1.0587053571428573,0.0,0.073558648111332,0.0,0.23125000000000004,3.3993498887762956e-17,1.1544110337972167,0.0
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,knn_dist_20,all14_plus_ext,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06253197922684009,0.0,-0.0011876543852666344,0.0,0.47937579753296466,0.0,0.07692307692307693,0.0,0.012500000000000002,2.1245936804851847e-18,1.2072115384615387,0.0,0.07142857142857142,0.0,0.05625,0.0,1.120982142857143,0.0,0.05555555555555555,0.0,0.08749999999999998,1.6996749443881478e-17,0.8718750000000001,0.0,0.05566600397614315,8.498374721940739e-18,0.17499999999999996,3.3993498887762956e-17,0.8736083499005965,0.0
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,gmm_4,all14_plus_ext,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06529002506652426,0.001152586444311614,0.0015703914544175311,0.001152586444311614,0.4986096341982135,0.007196226065088889,0.06410256410256411,0.02220577958421638,0.010416666666666666,0.0036084391824351613,1.0060096153846156,0.3484919533497958,0.07142857142857142,0.007936507936507936,0.05625,0.006249999999999999,1.120982142857143,0.12455357142857149,0.06349206349206349,0.003968253968253968,0.09999999999999999,0.006249999999999999,0.9964285714285714,0.0622767857142858,0.07024519549370443,0.0030368294863855764,0.22083333333333335,0.009547032697824675,1.1024105367793242,0.04765924275196364
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,ocsvm_nu10,local14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06642564656472771,0.0,0.0027060129526209897,0.0,0.5180215865589111,0.0,0.038461538461538464,0.0,0.006250000000000001,1.0622968402425924e-18,0.6036057692307694,0.0,0.06349206349206349,0.0,0.05000000000000001,8.498374721940739e-18,0.9964285714285714,0.0,0.06349206349206349,0.0,0.10000000000000002,1.6996749443881478e-17,0.9964285714285714,0.0,0.05964214711729623,8.498374721940739e-18,0.1875,0.0,0.9360089463220677,0.0
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,isolation_forest,local14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.0708347771529619,0.0004188548432515404,0.00711514354085518,0.0004188548432515404,0.5230992131008082,0.00242212189656172,0.07692307692307693,0.0,0.012500000000000002,2.1245936804851847e-18,1.2072115384615387,0.0,0.08730158730158728,1.6996749443881478e-17,0.06875,0.0,1.3700892857142855,2.7194799110210365e-16,0.06746031746031746,0.006873217490352687,0.10625,0.010825317547305476,1.058705357142857,0.10786655698922247,0.06626905235255136,0.002295627312881221,0.20833333333333334,0.007216878364870313,1.040009940357853,0.03602700114152961
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,pca_recon_10,local14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06632896654280196,0.0,0.002609332930695235,0.0,0.5008507018290089,0.0,0.15384615384615385,0.0,0.025000000000000005,4.2491873609703695e-18,2.4144230769230774,0.0,0.05555555555555555,0.0,0.04374999999999999,8.498374721940739e-18,0.8718750000000001,0.0,0.06349206349206349,0.0,0.10000000000000002,1.6996749443881478e-17,0.9964285714285714,0.0,0.0636182902584493,0.0,0.20000000000000004,3.3993498887762956e-17,0.9984095427435388,0.0
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,knn_dist_20,local14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06583713435345412,0.0,0.0021175007413473945,0.0,0.5085814547001276,0.0,0.07692307692307693,0.0,0.012500000000000002,2.1245936804851847e-18,1.2072115384615387,0.0,0.05555555555555555,0.0,0.04374999999999999,8.498374721940739e-18,0.8718750000000001,0.0,0.06349206349206349,0.0,0.10000000000000002,1.6996749443881478e-17,0.9964285714285714,0.0,0.061630218687872766,0.0,0.19375,0.0,0.9672092445328033,0.0
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,gmm_4,local14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06611979741421865,0.000732374274083495,0.0024001638021119384,0.000732374274083495,0.5054179072735007,0.002877502915442945,0.07692307692307693,0.0,0.012500000000000002,2.1245936804851847e-18,1.2072115384615387,0.0,0.07407407407407407,0.004582144993568458,0.05833333333333333,0.0036084391824351605,1.1625,0.07191103799281502,0.06084656084656084,0.006061608062110899,0.09583333333333333,0.009547032697824668,0.9549107142857144,0.09512936152475299,0.056991385023194174,0.0011478136564406066,0.17916666666666667,0.0036084391824351644,0.8944085487077537,0.018013500570764774
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,ocsvm_nu10,all14_plus_local,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06875535497918929,0.0,0.005035721367082566,0.0,0.5240456188855807,0.0,0.038461538461538464,0.0,0.006250000000000001,1.0622968402425924e-18,0.6036057692307694,0.0,0.07936507936507936,0.0,0.0625,0.0,1.2455357142857144,0.0,0.07539682539682539,0.0,0.11874999999999998,1.6996749443881478e-17,1.1832589285714286,0.0,0.06759443339960239,0.0,0.2125,0.0,1.06081013916501,0.0
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,isolation_forest,all14_plus_local,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.0697304271460464,0.0005728848791849809,0.006010793533939666,0.0005728848791849809,0.5125106337728625,0.004842398648820431,0.07692307692307693,0.0,0.012500000000000002,2.1245936804851847e-18,1.2072115384615387,0.0,0.08465608465608465,0.009164289987136916,0.06666666666666667,0.00721687836487032,1.3285714285714285,0.14382207598562993,0.08333333333333333,0.003968253968253968,0.13125,0.0062500000000000056,1.3078125,0.06227678571428563,0.06891981444665342,0.0011478136564406066,0.21666666666666667,0.0036084391824351644,1.081610337972167,0.018013500570764774
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,pca_recon_10,all14_plus_local,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06461725497085577,0.0,0.0008976213587490456,0.0,0.4962143768609102,0.0,0.07692307692307693,0.0,0.012500000000000002,2.1245936804851847e-18,1.2072115384615387,0.0,0.07142857142857142,0.0,0.05625,0.0,1.120982142857143,0.0,0.05555555555555555,0.0,0.08749999999999998,1.6996749443881478e-17,0.8718750000000001,0.0,0.0636182902584493,0.0,0.20000000000000004,3.3993498887762956e-17,0.9984095427435388,0.0
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,knn_dist_20,all14_plus_local,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06443606066136995,0.0,0.0007164270492632241,0.0,0.4947150148872819,0.0,0.038461538461538464,0.0,0.006250000000000001,1.0622968402425924e-18,0.6036057692307694,0.0,0.08730158730158728,1.6996749443881478e-17,0.06875,0.0,1.3700892857142855,2.7194799110210365e-16,0.06349206349206349,0.0,0.10000000000000002,1.6996749443881478e-17,0.9964285714285714,0.0,0.061630218687872766,0.0,0.19375,0.0,0.9672092445328033,0.0
