stage,cv,estate,model,feature_set,repeat,n,n_pos,n_neg,pos_rate,pr_auc,pr_auc_lift,roc_auc,precision_at_1pct,recall_at_1pct,enrichment_at_1pct,precision_at_5pct,recall_at_5pct,enrichment_at_5pct,precision_at_10pct,recall_at_10pct,enrichment_at_10pct,precision_at_20pct,recall_at_20pct,enrichment_at_20pct
spatial_fusion,spatial_5fold_repeated,AHCensus_Basemap,logreg_l2,coords_only,0,2511,160,2351,0.06371963361210672,0.10491616819528556,0.04119653458317883,0.6195953849425776,0.23076923076923078,0.0375,3.621634615384616,0.14285714285714285,0.1125,2.241964285714286,0.12698412698412698,0.2,1.9928571428571429,0.10536779324055666,0.33125,1.6536158051689862
spatial_fusion,spatial_5fold_repeated,AHCensus_Basemap,rf_balanced,coords_only,0,2511,160,2351,0.06371963361210672,0.10429195025341503,0.04057231664130831,0.5495281263292217,0.2692307692307692,0.04375,4.225240384615385,0.1349206349206349,0.10625,2.1174107142857146,0.10714285714285714,0.16875,1.6814732142857143,0.09343936381709742,0.29375,1.4664140159045727
spatial_fusion,spatial_5fold_repeated,AHCensus_Basemap,xgboost_balanced,coords_only,0,2511,160,2351,0.06371963361210672,0.06050455007498962,-0.0032150835371171013,0.4830032433007231,0.038461538461538464,0.00625,0.6036057692307694,0.03968253968253968,0.03125,0.6227678571428572,0.05952380952380952,0.09375,0.9341517857142857,0.05964214711729622,0.1875,0.9360089463220677
spatial_fusion,spatial_5fold_repeated,AHCensus_Basemap,logreg_l2,coords_only,1,2511,160,2351,0.06371963361210672,0.10491616819528556,0.04119653458317883,0.6195953849425776,0.23076923076923078,0.0375,3.621634615384616,0.14285714285714285,0.1125,2.241964285714286,0.12698412698412698,0.2,1.9928571428571429,0.10536779324055666,0.33125,1.6536158051689862
spatial_fusion,spatial_5fold_repeated,AHCensus_Basemap,rf_balanced,coords_only,1,2511,160,2351,0.06371963361210672,0.10320911410995942,0.0394894804978527,0.5464669289663973,0.3076923076923077,0.05,4.828846153846155,0.14285714285714285,0.1125,2.241964285714286,0.1111111111111111,0.175,1.7437500000000001,0.08349900596421471,0.2625,1.3104125248508947
spatial_fusion,spatial_5fold_repeated,AHCensus_Basemap,xgboost_balanced,coords_only,1,2511,160,2351,0.06371963361210672,0.06018888019162462,-0.003530753420482105,0.48089642705231816,0.0,0.0,0.0,0.03968253968253968,0.03125,0.6227678571428572,0.06746031746031746,0.10625,1.0587053571428573,0.055666003976143144,0.175,0.8736083499005965
spatial_fusion,spatial_5fold_repeated,AHCensus_Basemap,logreg_l2,coords_only,2,2511,160,2351,0.06371963361210672,0.10491616819528556,0.04119653458317883,0.6195953849425776,0.23076923076923078,0.0375,3.621634615384616,0.14285714285714285,0.1125,2.241964285714286,0.12698412698412698,0.2,1.9928571428571429,0.10536779324055666,0.33125,1.6536158051689862
spatial_fusion,spatial_5fold_repeated,AHCensus_Basemap,rf_balanced,coords_only,2,2511,160,2351,0.06371963361210672,0.09844205165011954,0.03472241803801282,0.5500132922160783,0.23076923076923078,0.0375,3.621634615384616,0.12698412698412698,0.1,1.9928571428571429,0.11904761904761904,0.1875,1.8683035714285714,0.09145129224652088,0.2875,1.435213717693837
spatial_fusion,spatial_5fold_repeated,AHCensus_Basemap,xgboost_balanced,coords_only,2,2511,160,2351,0.06371963361210672,0.06053187249731266,-0.0031877611147940674,0.4799699595916631,0.038461538461538464,0.00625,0.6036057692307694,0.047619047619047616,0.0375,0.7473214285714286,0.06349206349206349,0.1,0.9964285714285714,0.05168986083499006,0.1625,0.8112077534791253
spatial_fusion,spatial_5fold_repeated,AHCensus_Basemap,logreg_l2,log_raw4_plus_coords,0,2511,160,2351,0.06371963361210672,0.11069985695447988,0.04698022334237316,0.6201536580178648,0.19230769230769232,0.03125,3.0180288461538467,0.15079365079365079,0.11875,2.366517857142857,0.14285714285714285,0.225,2.241964285714286,0.1073558648111332,0.3375,1.6848161033797218
