stage,cv,estate,model,feature_set,n_mean,n_std,n_pos_mean,n_pos_std,n_neg_mean,n_neg_std,pos_rate_mean,pos_rate_std,pr_auc_mean,pr_auc_std,pr_auc_lift_mean,pr_auc_lift_std,roc_auc_mean,roc_auc_std,precision_at_1pct_mean,precision_at_1pct_std,recall_at_1pct_mean,recall_at_1pct_std,enrichment_at_1pct_mean,enrichment_at_1pct_std,precision_at_5pct_mean,precision_at_5pct_std,recall_at_5pct_mean,recall_at_5pct_std,enrichment_at_5pct_mean,enrichment_at_5pct_std,precision_at_10pct_mean,precision_at_10pct_std,recall_at_10pct_mean,recall_at_10pct_std,enrichment_at_10pct_mean,enrichment_at_10pct_std,precision_at_20pct_mean,precision_at_20pct_std,recall_at_20pct_mean,recall_at_20pct_std,enrichment_at_20pct_mean,enrichment_at_20pct_std,feature_order
supervised,spatial_5fold_repeated,AHCensus_Basemap,xgboost_balanced,raw4,2511.0,0.0,160.0,0.0,2351.0,0.0,0.0637196336121067,0.0,0.0673083147809568,0.0005588230143535,0.0035886811688501,0.0005588230143535,0.5099607436551822,0.0043000235465945,0.0384615384615384,0.0384615384615384,0.00625,0.00625,0.6036057692307694,0.6036057692307694,0.0661375661375661,0.0045821449935684,0.0520833333333333,0.0036084391824351,1.0379464285714286,0.071911037992815,0.0727513227513227,0.0022910724967842,0.1145833333333333,0.0036084391824351,1.1417410714285714,0.0359555189964074,0.0722332670642809,0.0022956273128812,0.2270833333333333,0.0072168783648703,1.1336108349900595,0.0360270011415295,0
supervised,spatial_5fold_repeated,AHCensus_Basemap,xgboost_balanced,log_raw4,2511.0,0.0,160.0,0.0,2351.0,0.0,0.0637196336121067,0.0,0.0673083147809568,0.0005588230143535,0.0035886811688501,0.0005588230143535,0.5099607436551822,0.0043000235465945,0.0384615384615384,0.0384615384615384,0.00625,0.00625,0.6036057692307694,0.6036057692307694,0.0661375661375661,0.0045821449935684,0.0520833333333333,0.0036084391824351,1.0379464285714286,0.071911037992815,0.0727513227513227,0.0022910724967842,0.1145833333333333,0.0036084391824351,1.1417410714285714,0.0359555189964074,0.0722332670642809,0.0022956273128812,0.2270833333333333,0.0072168783648703,1.1336108349900595,0.0360270011415295,1
supervised,spatial_5fold_repeated,AHCensus_Basemap,xgboost_balanced,existing_indices,2511.0,0.0,160.0,0.0,2351.0,0.0,0.0637196336121067,0.0,0.0650330529322698,0.0010438119833546,0.0013134193201631,0.0010438119833546,0.4627835672763363,0.0051673538015772,0.0384615384615384,0.0384615384615384,0.00625,0.00625,0.6036057692307694,0.6036057692307694,0.0952380952380952,0.0,0.075,0.0,1.4946428571428572,0.0,0.0886243386243386,0.0045821449935684,0.1395833333333333,0.0072168783648703,1.3908482142857144,0.071911037992815,0.0669317428760768,0.0050032037344405,0.2104166666666666,0.0157288217401473,1.0504100397614315,0.0785190286073758,2
supervised,spatial_5fold_repeated,AHCensus_Basemap,xgboost_balanced,extended_indices,2511.0,0.0,160.0,0.0,2351.0,0.0,0.0637196336121067,0.0,0.0675018693635668,0.000790849326426,0.00378223575146,0.000790849326426,0.5111769814263434,0.0046254171943144,0.0384615384615384,0.0,0.00625,1.0622968402425924e-18,0.6036057692307694,0.0,0.0608465608465608,0.0045821449935684,0.0479166666666666,0.0036084391824351,0.9549107142857144,0.0719110379928149,0.0582010582010582,0.0060616080621108,0.0916666666666666,0.0095470326978246,0.9133928571428572,0.0951293615247529,0.073558648111332,0.0019880715705765,0.23125,0.0062499999999999,1.1544110337972169,0.0312002982107355,3
supervised,spatial_5fold_repeated,AHCensus_Basemap,xgboost_balanced,local14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.0637196336121067,0.0,0.0685731755239988,0.0005832120599153,0.0048535419118921,0.0005832120599153,0.5335380334609386,0.0044057240848441,0.0128205128205128,0.0222057795842163,0.0020833333333333,0.0036084391824351,0.2012019230769231,0.3484919533497958,0.0687830687830687,0.0045821449935684,0.0541666666666666,0.0036084391824351,1.0794642857142858,0.071911037992815,0.0648148148148148,0.0082605793629608,0.1020833333333333,0.0130104124966633,1.0171875,0.1296394673774667,0.0728959575878065,0.0030368294863855,0.2291666666666666,0.0095470326978246,1.1440109343936382,0.0476592427519636,4
supervised,spatial_5fold_repeated,AHCensus_Basemap,xgboost_balanced,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.0637196336121067,0.0,0.0679785787534665,0.0013679526191049,0.0042589451413598,0.0013679526191049,0.4976011980717425,0.0013674772807457,0.0769230769230769,0.0384615384615384,0.0125,0.0062499999999999,1.2072115384615387,0.6036057692307693,0.0767195767195767,0.0121232161242217,0.0604166666666666,0.0095470326978246,1.2040178571428573,0.1902587230495058,0.0727513227513227,0.0022910724967842,0.1145833333333333,0.0036084391824351,1.1417410714285714,0.0359555189964074,0.0722332670642809,0.0011478136564406,0.2270833333333333,0.0036084391824351,1.1336108349900595,0.0180135005707647,5
supervised,spatial_5fold_repeated,AHCensus_Basemap,xgboost_balanced,raw4_plus_ext,2511.0,0.0,160.0,0.0,2351.0,0.0,0.0637196336121067,0.0,0.0670615429784775,0.0006316984278974,0.0033419093663707,0.0006316984278974,0.4983561959449878,0.002531045041937,0.1025641025641025,0.0587509704481518,0.0166666666666666,0.0095470326978246,1.609615384615385,0.9220230424706825,0.0634920634920634,0.0079365079365079,0.05,0.00625,0.9964285714285714,0.1245535714285714,0.0793650793650793,0.0039682539682539,0.125,0.00625,1.2455357142857144,0.0622767857142857,0.0656063618290258,0.0019880715705765,0.2062499999999999,0.0062499999999999,1.0296098409542744,0.0312002982107356,6
supervised,spatial_5fold_repeated,AHCensus_Basemap,xgboost_balanced,raw4_plus_local,2511.0,0.0,160.0,0.0,2351.0,0.0,0.0637196336121067,0.0,0.0704216141592547,0.0006076146593518,0.006701980547148,0.0006076146593518,0.5189857152984545,0.0072768857379052,0.0256410256410256,0.0222057795842163,0.0041666666666666,0.0036084391824351,0.4024038461538462,0.3484919533497958,0.0793650793650793,0.0158730158730158,0.0625,0.0124999999999999,1.2455357142857144,0.2491071428571428,0.0899470899470899,0.0022910724967842,0.1416666666666666,0.0036084391824351,1.411607142857143,0.0359555189964075,0.074884029158383,0.0069818779011615,0.2354166666666667,0.0219492786517765,1.1752112326043738,0.1095718463113536,7
supervised,spatial_5fold_repeated,AHCensus_Basemap,xgboost_balanced,all14_plus_ext,2511.0,0.0,160.0,0.0,2351.0,0.0,0.0637196336121067,0.0,0.0697571868866895,0.0012683541577175,0.0060375532745828,0.0012683541577175,0.5177725790443782,0.0021167641608958,0.0512820512820512,0.0222057795842163,0.0083333333333333,0.0036084391824351,0.8048076923076924,0.3484919533497958,0.0634920634920634,0.0079365079365079,0.05,0.00625,0.9964285714285714,0.1245535714285714,0.0714285714285714,0.0039682539682539,0.1125,0.0062499999999999,1.120982142857143,0.0622767857142856,0.073558648111332,0.0019880715705765,0.23125,0.0062499999999999,1.1544110337972169,0.0312002982107355,8
supervised,spatial_5fold_repeated,AHCensus_Basemap,xgboost_balanced,all14_plus_local,2511.0,0.0,160.0,0.0,2351.0,0.0,0.0637196336121067,0.0,0.0732601744988432,0.0014454578178354,0.0095405408867364,0.0014454578178354,0.5126497589678151,0.0045477699380283,0.0512820512820512,0.0222057795842163,0.0083333333333333,0.0036084391824351,0.8048076923076924,0.3484919533497958,0.1084656084656084,0.0199731069716157,0.0854166666666666,0.0157288217401473,1.7022321428571427,0.3134529475357945,0.0992063492063492,0.0068732174903526,0.15625,0.0108253175473054,1.556919642857143,0.1078665569892224,0.0755467196819085,0.0052599429643431,0.2375,0.0165359456941536,1.1856113320079524,0.0825482298966599,9
