protocol,estate,role,stage,model,feature_set,pos_rate_mean,pr_auc_mean,pr_auc_std,pr_auc_lift_mean,roc_auc_mean,enrichment_at_5pct_mean,enrichment_at_10pct_mean,recall_at_10pct_mean
broad_region_4fold,Palong_Basemap,Spatial label context,spatial_context,nearest_u_minus_h,coords_plus_training_labels,,0.0997823736635581,,0.0076589282466995,0.504269406392694,1.294633027522936,1.3444266055045873,0.135
block_5fold,Serting_Basemap,RF baseline,supervised,rf_balanced,all14,,0.08301740595029,0.0006938064111007928,-0.009364117744970833,0.4707498934200851,0.3436404864976293,0.5401534593151359,0.054112554112554064
block_5fold,Serting_Basemap,Best supervised SAR,supervised,svm_rbf,all14,,0.097905176977455,0.0,0.005523653282194,0.5191929683007013,0.902056277056277,1.2315498872385098,0.1233766233766233
block_5fold,Serting_Basemap,Best Healthy-only,healthy_only,isolation_forest,raw4_plus_local,,0.11637603146271817,0.003651342295404622,0.023994507767457166,0.48530198596292445,1.2027417027417027,1.1235191953754826,0.11255411255411246
block_5fold,Serting_Basemap,Best SAR + spatial,spatial_fusion,xgboost_balanced,log_raw4_plus_coords,,0.17929785469553836,0.002178387741703115,0.08691633100027747,0.620688520556333,3.39344980416409,2.4630997744770204,0.24675324675324672
block_5fold,Serting_Basemap,Spatial label context,spatial_context,nearest_u_relative_distance,coords_plus_training_labels,,0.1539067590637781,0.0,0.0615252353685172,0.5320855614973262,2.706168831168831,1.6852787930632245,0.1688311688311688
broad_region_4fold,Serting_Basemap,RF baseline,supervised_broad_spatial,rf_balanced,all14,,0.083311801374435,,-0.0090697223208259,0.4638114694294469,0.515460729746444,0.7130025662959795,0.0714285714285714
broad_region_4fold,Serting_Basemap,Best supervised SAR,supervised_broad_spatial,xgboost_balanced,log_raw4,,0.0948790188177582,,0.0024974951224973,0.5166994274727256,0.773191094619666,0.7778209814137957,0.0779220779220779
broad_region_4fold,Serting_Basemap,Best Healthy-only,healthy_only_broad_spatial,isolation_forest,raw4_plus_local,,0.1156848529829162,,0.0233033292876552,0.4732491566595995,1.1597866419294989,1.2315498872385098,0.1233766233766233
broad_region_4fold,Serting_Basemap,Best SAR + spatial,spatial_fusion,rf_balanced,log_raw4_plus_coords,,0.1637287945789488,,0.0713472708836878,0.5972008823958593,2.57730364873222,2.46309977447702,0.2467532467532467
broad_region_4fold,Serting_Basemap,Spatial label context,spatial_context,nearest_u_relative_distance,coords_plus_training_labels,,0.1624677496671767,,0.0700862259719158,0.5670680938361043,2.57730364873222,1.490823547709775,0.1493506493506493
