n_plots,pos_plots,pr_auc,pr_std,bal,rec,f1,loc,s,thr,sel
234,90,0.5903964563256847,0.1588475263741481,0.538892128699684,0.15151515151515152,0.14814814814814814,Palong_Basemap,4,0.0,raw
234,90,0.47443964652865017,0.14686823101470947,0.5264238068496799,0.1931818181818182,0.18881118881118883,Palong_Basemap,4,0.0,mi30
234,90,0.47415765878664473,0.164332311679566,0.5173223008776288,0.16761363636363638,0.1623931623931624,Palong_Basemap,4,0.0,mi50
234,76,0.4784698216054821,0.10216148987888678,0.5454166666666667,0.10416666666666667,0.1388888888888889,Palong_Basemap,4,0.1,raw
234,76,0.4058233010872769,0.13676206864149051,0.5027525252525252,0.041666666666666664,0.05333333333333334,Palong_Basemap,4,0.1,mi30
234,76,0.4468904942071368,0.21203632083925944,0.5153914141414141,0.0625,0.08,Palong_Basemap,4,0.1,mi50
234,43,0.28990325470470235,0.13692944552573952,0.5,0.0,0.0,Palong_Basemap,4,0.2,raw
234,43,0.36577062548222594,0.05569778647369977,0.5,0.0,0.0,Palong_Basemap,4,0.2,mi30
234,43,0.29772202244742674,0.1703024291802985,0.5,0.0,0.0,Palong_Basemap,4,0.2,mi50
234,24,0.16805821994295458,0.09403905802835497,0.5,0.0,0.0,Palong_Basemap,4,0.3,raw
234,24,0.22321746220548505,0.13457378213238008,0.5,0.0,0.0,Palong_Basemap,4,0.3,mi30
234,24,0.1803005510548732,0.10225578114752863,0.5,0.0,0.0,Palong_Basemap,4,0.3,mi50
158,68,0.5842548622706382,0.23004720909729218,0.5128427128427129,0.04841269841269841,0.08302808302808302,Palong_Basemap,5,0.0,raw
158,68,0.6406611720030382,0.14583332139634927,0.5637377637377637,0.22698412698412698,0.27738095238095234,Palong_Basemap,5,0.0,mi30
158,68,0.6198835822132199,0.17881808654918824,0.5538025038025038,0.1952380952380952,0.25221674876847294,Palong_Basemap,5,0.0,mi50
158,50,0.32921150899747686,0.08691317529161267,0.495199146514936,0.10526315789473684,0.1,Palong_Basemap,5,0.1,raw
158,50,0.3631728961110826,0.10234176515530752,0.5080014224751067,0.15789473684210525,0.13043478260869565,Palong_Basemap,5,0.1,mi30
158,50,0.33128784754564006,0.1257627316563489,0.5046230440967283,0.15789473684210525,0.1276595744680851,Palong_Basemap,5,0.1,mi50
158,30,0.20332585665513087,0.06807306381213657,0.5,0.0,0.0,Palong_Basemap,5,0.2,raw
158,30,0.216765323495555,0.05639256802388058,0.5146604938271605,0.041666666666666664,0.06666666666666667,Palong_Basemap,5,0.2,mi30
158,30,0.252345046046129,0.08064465798343028,0.5,0.0,0.0,Palong_Basemap,5,0.2,mi50
