id,Long,Lat,Class,y,HH_mean,HH_std,HH_min,HH_max,HH_p25,HH_p50,HV_mean,HV_std,HV_min,HV_max,HV_p25,HV_p50,VH_mean,VH_std,VH_min,VH_max,VH_p25,VH_p50,VV_mean,VV_std,VV_min,VV_max,VV_p25,VV_p50,H_mean,H_std,A_mean,A_std,alpha_mean,alpha_std,Pd_mean,Pd_std,Pv_mean,Pv_std,Ps_mean,Ps_std,Pc_mean,Pc_std
1,102.4871081,2.953860775,Unhealthy,1,0.14995572136508095,0.026680922585637465,0.11697468161582947,0.2030186653137207,0.12896785140037537,0.14877331256866455,0.02066054567694664,0.0013915701822939648,0.018422763794660568,0.022512488067150116,0.019900307059288025,0.020376093685626984,0.022664665141039424,0.002955250980558598,0.01965472288429737,0.028340697288513184,0.020181307569146156,0.021144943311810493,0.11734554668267567,0.01452715271912318,0.09933462738990784,0.1447441726922989,0.10853080451488495,0.11161350458860397,0.8671058085229661,0.024741991997464328,0.2631249990728166,0.015046460491872485,43.17164272732205,1.0703504413131915,-18.67411210801866,1.7028991413693313,-9.149208492702908,0.4865883098223654,-12.80408689710829,1.1075920433929398,-20.712168375651043,0.4441345130182424
2,102.4871104,2.953791011,Healthy,0,0.1703936970896191,0.026775699416777148,0.12896785140037537,0.21409578621387482,0.15445639193058014,0.17173729836940765,0.02032220922410488,0.0011966437946572131,0.018422763794660568,0.02228718064725399,0.01982799544930458,0.020135847851634026,0.02088148622877068,0.0011651746112101478,0.01965472288429737,0.02294197678565979,0.01980840042233467,0.020768161863088608,0.11262291669845581,0.019832502607872924,0.08053592592477798,0.1447441726922989,0.09839694947004318,0.10924167186021805,0.8430890904532539,0.026564031878522108,0.26937998996840584,0.022151161899897957,42.08322313096788,0.8934208401114427,-17.111846076117622,1.3594467311639487,-9.692516962687174,0.5858855771317877,-11.766306983100044,0.7647042393590743,-20.27059194776747,0.6306426851486117
3,102.4871116,2.953708456,Healthy,0,0.1908467577563392,0.054347426238659055,0.14584006369113922,0.32722777128219604,0.14769704639911652,0.17173729836940765,0.021036934521463182,0.004732268353319758,0.01536925882101059,0.03294268995523453,0.018496936187148094,0.02038481831550598,0.02179503854778078,0.0038545042543850047,0.016519416123628616,0.03142329677939415,0.019913218915462494,0.020768161863088608,0.08090214100148943,0.009947591845544371,0.06646255403757095,0.09839694947004318,0.07164493203163147,0.08126761764287949,0.8213104605674744,0.0163000888483284,0.31347772147920394,0.0272949395657611,41.734566582573784,1.1504255899531146,-15.571001264784071,0.5141814090904968,-10.493353419833714,0.4228582839686769,-11.318943977355957,0.3349094636354268,-20.13496356540256,0.7212024783654865
5,102.4871139,2.95354916,Healthy,0,0.16392328838507333,0.02544335440062257,0.13944093883037567,0.21440744400024414,0.14584006369113922,0.15233974158763885,0.020644977481828794,0.003770060868149522,0.01536925882101059,0.02739507146179676,0.017838886007666588,0.01977546326816082,0.021266631471614044,0.005272528032117267,0.01491412241011858,0.03287268057465553,0.016582222655415535,0.019913218915462494,0.07545516060458289,0.008223682120347945,0.06309287995100021,0.08924077451229095,0.06862343102693558,0.07607929408550262,0.843762563334571,0.010081586102357848,0.35898256964153713,0.038748596475145426,42.558738708496094,1.1214928260128563,-15.163133833143446,0.5437517168888757,-10.119504928588867,0.3393703193549872,-12.015785535176596,0.39346562694737386,-21.073275248209637,0.009725020021201703
6,102.4871139,2.953475908,Healthy,0,0.160518825882011,0.016513541155163534,0.1243501678109169,0.1856878101825714,0.15233974158763885,0.16218699514865875,0.022015001624822617,0.003519966182967847,0.016568835824728012,0.02739507146179676,0.019060922786593437,0.022738954052329063,0.021349161138965025,0.005157706135232565,0.01554796937853098,0.03287268057465553,0.018493276089429855,0.019252832978963852,0.11764540854427549,0.03753479230145014,0.07607929408550262,0.18425102531909943,0.07764477282762527,0.11562353372573853,0.8375574615266588,0.017714624222129,0.37934234738349915,0.037420518979445615,40.874005211724175,2.163299907628357,-15.024675263298882,0.5604034214265362,-9.902246051364475,0.3009348242660289,-11.386741956075033,0.7461052225140359,-21.07671356201172,0.0
8,102.4871848,2.953894495,Healthy,0,0.16375253266758388,0.022377721202386052,0.11697468161582947,0.2030186653137207,0.15445639193058014,0.16548705101013184,0.02138636654449834,0.0018746797742466364,0.018422763794660568,0.02572769485414028,0.020376093685626984,0.021261204034090042,0.02281710629661878,0.0038151710558077885,0.017364511266350746,0.030486062169075012,0.020181307569146156,0.021144943311810493,0.10592998978164461,0.021944787165457103,0.0737476572394371,0.1447441726922989,0.0867379680275917,0.09948849678039551,0.8461854192945693,0.03482346785551638,0.2653306855095757,0.02896414879923062,42.98674096001519,0.952571396576205,-18.09766409132216,1.8432070856747922,-9.414505958557129,0.6604670610627396,-12.402981334262424,1.0347302224541357,-20.77971182929145,0.38736197029596997
9,102.4872476,2.953929377,Healthy,0,0.15901696350839403,0.024763164937303267,0.11955803632736206,0.20704609155654907,0.14877331256866455,0.16205617785453796,0.021406230620212026,0.0022806129305853982,0.018633004277944565,0.02572769485414028,0.020135847851634026,0.02087545394897461,0.023301962349149916,0.004843423045797935,0.01580672711133957,0.030486062169075012,0.019292866811156273,0.02425195649266243,0.09036630143721898,0.015328150995081133,0.0706687644124031,0.1291511356830597,0.08537019789218903,0.08599691838026047,0.8501453598340353,0.03794516877881917,0.3077175087398953,0.037825862297334326,43.677215576171875,1.6067234587149333,-18.02895376417372,1.7280039509083562,-9.563874456617567,0.5261403632169285,-13.091584735446506,1.1539813912385308,-20.842715793185764,0.39365882325019896
11,102.4872488,2.954021234,Healthy,0,0.11913342277208964,0.014486080699574655,0.10270442068576813,0.14979451894760132,0.10843989998102188,0.11599954217672348,0.022970734991961055,0.00401299385276486,0.015649033710360527,0.029711296781897545,0.02059726044535637,0.02295095846056938,0.023291880264878273,0.0053197137510434265,0.01547762006521225,0.031387779861688614,0.019142769277095795,0.02425195649266243,0.08646695067485173,0.008730332584318143,0.0706687644124031,0.10591616481542587,0.08495631068944931,0.08642519265413284,0.8804260227415297,0.03370393353777786,0.31927095188034904,0.03637875492795573,45.139472537570526,1.6729439171819083,-18.165944417317707,1.512633949095011,-9.469621870252821,0.5091487799108939,-14.422843297322592,1.7220890049428368,-20.708179261949326,0.4379872181141183
12,102.487315,2.954051465,Healthy,0,0.12294960353109571,0.027449518722605572,0.10107935965061188,0.1883755475282669,0.1045754998922348,0.11007700860500336,0.022290675797396235,0.003655381607481376,0.015649033710360527,0.029711296781897545,0.02059726044535637,0.02295095846056938,0.019829951433671847,0.003709415480025693,0.015343528240919113,0.024679092690348625,0.01580672711133957,0.019142769277095795,0.08499609596199459,0.010293392058450068,0.06993281096220016,0.10591616481542587,0.08013260364532471,0.08599691838026047,0.8722249269485474,0.036316279058880414,0.32672385374705,0.03511396727727096,43.92946328057183,2.34071991123641,-16.993236117892796,0.7001652877274315,-9.712410820855034,0.33047280750833424,-14.020726839701334,1.3608359718882361,-20.901371214124893,0.3441139384878724
13,102.4873767,2.954088673,Healthy,0,0.11088670707411236,0.01815723376788376,0.09340039640665054,0.15624548494815826,0.10107935965061188,0.10632237792015076,0.025112168242534,0.0022600627269833175,0.022513989359140396,0.029711296781897545,0.023490415886044502,0.02383122779428959,0.024201933708455827,0.0051607134204911705,0.017724135890603065,0.031048469245433807,0.019142769277095795,0.023360341787338257,0.08410250229967965,0.009096425017763584,0.06993281096220016,0.1036141887307167,0.07737607508897781,0.08495631068944931,0.8777955174446106,0.0326451059853066,0.26200831929842633,0.054482293689585175,43.058277977837456,2.2608615325808823,-18.138497882419163,1.0526536423273802,-9.205941094292534,0.43639658522802777,-14.241311921013725,1.2351442736015927,-21.075006273057724,0.004828942387253508
