location,classes,resampling,cv,n_oof,bal_acc,MCC,recall_Healthy,recall_Middle,recall_Unhealthy,f1_Unhealthy,f1_macro
Palong,binary,gsmote,spatial,2171,0.48278285134449517,-0.041526145810726896,0.9355657026889903,,0.03,0.036036036036036036,0.4779830965912283
Palong,binary,gsmote,random,2171,0.5138013698630137,0.04684083610420121,0.9726027397260274,,0.055,0.0830188679245283,0.511708109458953
Palong,binary,class_weighted_rf,spatial,2171,0.49797057331303907,-0.019372622664873437,0.9959411466260781,,0.0,0.0,0.4748427672955975
Palong,binary,class_weighted_rf,random,2171,0.5039852866565195,0.043907963569105465,0.9979705733130391,,0.01,0.019417475728155338,0.48528900865711444
Palong,with_middle,gsmote,spatial,2664,0.3257554262979532,-0.025265495147070622,0.8691019786910198,0.08316430020283976,0.025,0.034129692832764506,0.31406220463320433
Palong,with_middle,gsmote,random,2664,0.3634888661110099,0.09291837581854676,0.9401319127346525,0.09533468559837728,0.055,0.08979591836734693,0.35673179937538474
Palong,with_middle,class_weighted_rf,spatial,2664,0.3302867920204699,-0.016945924412998938,0.9766615930999493,0.014198782961460446,0.0,0.0,0.2890164522577008
Palong,with_middle,class_weighted_rf,random,2664,0.3452617192015804,0.07767009604304992,0.9883307965499746,0.032454361054766734,0.015,0.028846153846153848,0.31286980888318106
Serting,binary,gsmote,spatial,1667,0.49728113921768907,-0.007198080345843678,0.9491077329808327,,0.045454545454545456,0.058823529411764705,0.4932360541115671
Serting,binary,gsmote,random,1667,0.5199097003459198,0.06894940149320701,0.9748843357567746,,0.06493506493506493,0.09900990099009901,0.520450033509098
Serting,binary,class_weighted_rf,spatial,1667,0.502916283980395,0.048788505571394455,0.9993390614672836,,0.006493506493506494,0.01282051282051282,0.4821811815203885
Serting,binary,class_weighted_rf,random,1667,0.502916283980395,0.048788505571394455,0.9993390614672836,,0.006493506493506494,0.01282051282051282,0.4821811815203885
Serting,with_middle,gsmote,spatial,2045,0.3165210471885951,-0.03804034053212648,0.8968935888962326,0.03968253968253968,0.012987012987012988,0.017241379310344827,0.29503377362328254
Serting,with_middle,gsmote,random,2045,0.35154459014340045,0.04546470007264936,0.9391936549900859,0.06349206349206349,0.05194805194805195,0.08290155440414508,0.3381857227689214
Serting,with_middle,class_weighted_rf,spatial,2045,0.3331141861655191,-0.005777089476233466,0.9940515532055518,0.005291005291005291,0.0,0.0,0.2861166253462342
Serting,with_middle,class_weighted_rf,random,2045,0.3368226267543298,0.023663923664056084,0.9907468605419696,0.013227513227513227,0.006493506493506494,0.012738853503184714,0.2952594830375969
