accuracy,balanced_accuracy,precision_unhealthy,recall_unhealthy,f1_unhealthy,f1_macro,roc_auc,pr_auc,brier_score,cohen_kappa,runtime_train_s,runtime_pred_s,tn,fp,fn,tp,threshold_used,thr_best_f1,f1_U_best,recall_U_best,location,model,config,eval_type,fold,sampler
0.8945362134688691,0.5068797727696033,0.1,0.05084745762711865,0.06741573033707865,0.5057617372224114,0.5296610169491526,0.09530713831659152,0.1295795142615767,0.017773634272138183,0.7856059074401855,0.11369132995605469,701.0,27.0,56.0,3.0,0.5,0.41,0.1724137931034483,0.2542372881355932,AirHitam,RandomForest,tuned,spatial_cv,1.0,gsmote
0.8512696493349455,0.5127009995654064,0.09090909090909091,0.11666666666666667,0.10218978102189781,0.5105543499704084,0.5440026075619295,0.08775082682231597,0.14272983024254757,0.022468022948519573,0.7887976169586182,0.1108851432800293,697.0,70.0,53.0,7.0,0.5,0.42,0.16964285714285715,0.31666666666666665,AirHitam,RandomForest,tuned,spatial_cv,2.0,gsmote
0.887402452619844,0.546230339639845,0.0945945945945946,0.17073170731707318,0.12173913043478261,0.5307921381774866,0.5727433325735126,0.06641642208927692,0.0867696887791446,0.06684726070431668,0.4809904098510742,0.010026216506958008,789.0,67.0,34.0,7.0,0.5,0.34,0.1456953642384106,0.2682926829268293,AirHitam,XGBoost,default,spatial_cv,0.0,gsmote
0.9008894536213469,0.5103138387036692,0.12,0.05084745762711865,0.07142857142857142,0.5095397890699904,0.5403939281057926,0.09001504979021482,0.08637980261085926,0.028056619905633462,0.478515625,0.009956836700439453,706.0,22.0,56.0,3.0,0.5,0.2,0.15476190476190477,0.22033898305084745,AirHitam,XGBoost,default,spatial_cv,1.0,gsmote
0.8681983071342201,0.4987831377661886,0.07017543859649122,0.06666666666666667,0.06837606837606838,0.4987293484365703,0.5476531942633638,0.08268686621873247,0.10273329722769478,-0.0024911309067050524,0.46677422523498535,0.009758949279785156,714.0,53.0,56.0,4.0,0.5,0.23,0.15454545454545454,0.2833333333333333,AirHitam,XGBoost,default,spatial_cv,2.0,gsmote
0.8651059085841695,0.5461591064508776,0.08333333333333333,0.1951219512195122,0.11678832116788321,0.5218823923280574,0.5309436972874402,0.05686749595388535,0.11021590402800861,0.05633949763947932,0.26326727867126465,0.00884389877319336,768.0,88.0,33.0,8.0,0.5,0.51,0.12030075187969924,0.1951219512195122,AirHitam,XGBoost,tuned,spatial_cv,0.0,gsmote
0.8881829733163914,0.5268089960886571,0.14634146341463414,0.1016949152542373,0.12,0.5301492537313433,0.5132473458744645,0.09447023851886152,0.10251723845701544,0.062359535349706174,0.26072168350219727,0.008710384368896484,693.0,35.0,53.0,6.0,0.5,0.29,0.14814814814814814,0.2711864406779661,AirHitam,XGBoost,tuned,spatial_cv,1.0,gsmote
0.8609431680773881,0.5102346805736636,0.08955223880597014,0.1,0.09448818897637795,0.5095885607619284,0.5161668839634941,0.0776898344690487,0.11356386041980117,0.019424883234181123,0.25611400604248047,0.008531332015991211,706.0,61.0,54.0,6.0,0.5,0.14,0.1434108527131783,0.6166666666666667,AirHitam,XGBoost,tuned,spatial_cv,2.0,gsmote
0.9542920847268673,0.5,0.0,0.0,0.0,0.4883057615516258,0.5546928424891726,0.08286229262280631,0.04405989557905183,0.0,3.518864393234253,1.2276043891906738,856.0,0.0,41.0,0.0,0.5,0.09,0.15126050420168066,0.21951219512195122,AirHitam,TabFM,standard,spatial_cv,0.0,gsmote
0.9250317662007624,0.5,0.0,0.0,0.0,0.48052805280528055,0.5426289811883033,0.09292653244752463,0.0728146663427905,0.0,3.8323960304260254,1.1265480518341064,728.0,0.0,59.0,0.0,0.5,0.05,0.06097560975609756,0.0847457627118644,AirHitam,TabFM,standard,spatial_cv,1.0,gsmote
0.9274486094316807,0.5,0.0,0.0,0.0,0.48117942283563364,0.5092677096914385,0.07484133638798453,0.0709372780465606,0.0,3.664214849472046,1.110102653503418,767.0,0.0,60.0,0.0,0.5,0.07,0.078125,0.08333333333333333,AirHitam,TabFM,standard,spatial_cv,2.0,gsmote
0.9542920847268673,0.5,0.0,0.0,0.0,0.4883057615516258,0.5641953498974241,0.09307190217833372,0.0438997209161636,0.0,24.299134731292725,1.259531021118164,856.0,0.0,41.0,0.0,0.5,0.18,0.18181818181818182,0.14634146341463414,AirHitam,TabFM,ensemble,spatial_cv,0.0,gsmote
0.9250317662007624,0.5,0.0,0.0,0.0,0.48052805280528055,0.5152728627304899,0.07325501331978737,0.07365243151971189,0.0,26.611255168914795,1.1425120830535889,728.0,0.0,59.0,0.0,0.5,0.06,0.04838709677419355,0.05084745762711865,AirHitam,TabFM,ensemble,spatial_cv,1.0,gsmote
0.9274486094316807,0.5,0.0,0.0,0.0,0.48117942283563364,0.5164493698392003,0.07723587029003849,0.0711376510767571,0.0,25.850269079208374,1.1393582820892334,767.0,0.0,60.0,0.0,0.5,0.05,0.062111801242236024,0.08333333333333333,AirHitam,TabFM,ensemble,spatial_cv,2.0,gsmote
