accuracy,balanced_accuracy,precision_unhealthy,recall_unhealthy,f1_unhealthy,f1_macro,roc_auc,pr_auc,brier_score,cohen_kappa,runtime_train_s,runtime_pred_s,tn,fp,fn,tp,threshold_used,location,model,config,eval_type,fold,gsmote
0.903448275862069,0.5199367088607595,0.3333333333333333,0.05,0.08695652173913043,0.5179928239763614,0.7205379746835443,0.21204154987850488,0.2779751568965517,0.06451612903225812,3.8159663677215576,0.44409656524658203,391.0,4.0,38.0,2.0,0.861,Palong,RandomForest,default,holdout,-1.0,True
0.8850574712643678,0.5659810126582279,0.2916666666666667,0.175,0.21875,0.5783576302729528,0.719113924050633,0.20581620941012907,0.3135701450581386,0.16087962962962965,3.295752763748169,0.37190842628479004,378.0,17.0,33.0,7.0,0.8194090012694079,Palong,RandomForest,tuned,holdout,-1.0,True
0.9080459770114943,0.5,0.0,0.0,0.0,0.4759036144578313,0.7298101265822785,0.24806882777475464,0.09926554932670004,0.0,1.7820050716400146,0.00811147689819336,395.0,0.0,40.0,0.0,0.9948222637176514,Palong,XGBoost,default,holdout,-1.0,True
0.9080459770114943,0.5,0.0,0.0,0.0,0.4759036144578313,0.7471518987341772,0.2752402677791408,0.09824344161906128,0.0,1.7414937019348145,0.007673025131225586,395.0,0.0,40.0,0.0,0.9932149648666382,Palong,XGBoost,tuned,holdout,-1.0,True
0.9080459770114943,0.5,0.0,0.0,0.0,0.4759036144578313,0.8119620253164557,0.3125805272418259,0.07745268204762484,0.0,3.7873575687408447,0.5842916965484619,395.0,0.0,40.0,0.0,0.848944365978241,Palong,TabFM,standard,holdout,-1.0,True
0.9103448275862069,0.5125,1.0,0.025,0.04878048780487805,0.5008679278590132,0.8181012658227849,0.3145879822761229,0.07789240558451671,0.044494508589129955,26.39515781402588,0.7290124893188477,395.0,0.0,39.0,1.0,0.8745942007472924,Palong,TabFM,ensemble,holdout,-1.0,True
0.9478155339805825,0.4905778894472362,0.0,0.0,0.0,0.4866043613707165,0.5034996410624551,0.03473156929254659,0.4238896383495146,-0.024283071230342346,3.5162744522094727,0.4245600700378418,781.0,15.0,28.0,0.0,0.8795,Palong,RandomForest,default,spatial_cv,0.0,True
0.8590704647676162,0.5028260869565218,0.25,0.010869565217391304,0.020833333333333332,0.47245220786214326,0.5902930056710776,0.17153389817211745,0.2372515554722639,0.009447674418604723,3.551328182220459,0.468050479888916,572.0,3.0,91.0,1.0,0.9035,Palong,RandomForest,default,spatial_cv,1.0,True
0.8735294117647059,0.5004166666666666,0.125,0.0125,0.022727272727272728,0.47755860491709545,0.51115625,0.1428756239055705,0.33488888419117646,0.001366120218579292,3.485194683074951,0.39080095291137695,593.0,7.0,79.0,1.0,0.888,Palong,RandomForest,default,spatial_cv,2.0,True
0.8191747572815534,0.47568198133524764,0.023622047244094488,0.10714285714285714,0.03870967741935484,0.46945530756433246,0.5007627422828428,0.03435682438745134,0.4559594699842407,-0.017975590342265813,3.182081460952759,0.3901948928833008,672.0,124.0,25.0,3.0,0.8169065791948004,Palong,RandomForest,tuned,spatial_cv,0.0,True
