accuracy,balanced_accuracy,precision_unhealthy,recall_unhealthy,f1_unhealthy,f1_macro,roc_auc,pr_auc,brier_score,cohen_kappa,runtime_train_s,runtime_pred_s,tn,fp,fn,tp,threshold_used,location,model,config,eval_type,fold,gsmote
0.8986083499005965,0.5235204352441614,0.12,0.09375,0.10526315789473684,0.5257611890632798,0.5131369426751592,0.07904841452340097,0.4234818399602386,0.0523807764766725,3.646695137023926,0.3790621757507324,449.0,22.0,29.0,3.0,0.8845,Census,RandomForest,default,holdout,-1.0,True
0.8807157057654076,0.5285297239915074,0.1111111111111111,0.125,0.11764705882352941,0.5268405869810611,0.5212977707006369,0.08078510050340637,0.4492582039391461,0.05391849529780557,3.647308826446533,0.4577057361602783,439.0,32.0,28.0,4.0,0.8827801587301596,Census,RandomForest,tuned,holdout,-1.0,True
0.9304174950298211,0.4968152866242038,0.0,0.0,0.0,0.4819773429454171,0.5551353503184713,0.09396714272467438,0.09305760010519852,-0.011026244759662296,1.8843231201171875,0.007778644561767578,468.0,3.0,32.0,0.0,0.9975560903549194,Census,XGBoost,default,holdout,-1.0,True
0.9304174950298211,0.4968152866242038,0.0,0.0,0.0,0.4819773429454171,0.5508227176220807,0.09463961024274538,0.10109868629595496,-0.011026244759662296,1.7637064456939697,0.0071828365325927734,468.0,3.0,32.0,0.0,0.9921764731407166,Census,XGBoost,tuned,holdout,-1.0,True
0.9363817097415507,0.5,0.0,0.0,0.0,0.48357289527720737,0.5287951167728238,0.0843730731380802,0.062034565091765026,0.0,2.3392093181610107,0.3026540279388428,471.0,0.0,32.0,0.0,0.7776753306388855,Census,TabFM,standard,holdout,-1.0,True
0.9363817097415507,0.5,0.0,0.0,0.0,0.48357289527720737,0.5169851380042463,0.08164292462200001,0.06310698792318867,0.0,15.816977739334106,0.3748784065246582,471.0,0.0,32.0,0.0,0.8459876124147585,Census,TabFM,ensemble,holdout,-1.0,True
0.9063545150501672,0.5213272167768407,0.0784313725490196,0.0975609756097561,0.08695652173913043,0.518801410105758,0.5165403464782312,0.06170613128513042,0.38965456382385727,0.03821704832656814,3.6645500659942627,0.4434692859649658,809.0,47.0,37.0,4.0,0.8955,Census,RandomForest,default,spatial_cv,0.0,True
0.9135959339263025,0.5249697336561743,0.23529411764705882,0.06779661016949153,0.10526315789473684,0.5299346497083831,0.5348644999068728,0.11028561803783576,0.42182666391359597,0.07421374943777459,3.5334959030151367,0.41234660148620605,715.0,13.0,55.0,4.0,0.894,Census,RandomForest,default,spatial_cv,1.0,True
0.905683192261185,0.5036288570186875,0.09090909090909091,0.03333333333333333,0.04878048780487805,0.4995810835970955,0.4869839200347675,0.07633170379288202,0.43978345737605806,0.01024948599134623,3.590815305709839,0.4228072166442871,747.0,20.0,58.0,2.0,0.908,Census,RandomForest,default,spatial_cv,2.0,True
0.8862876254180602,0.5340352176886255,0.0821917808219178,0.14634146341463414,0.10526315789473684,0.5222744360902256,0.5205436516981993,0.07564378959678289,0.4187117200820492,0.04963021439255444,3.645643472671509,0.48847508430480957,789.0,67.0,35.0,6.0,0.8732386904761901,Census,RandomForest,tuned,spatial_cv,0.0,True
0.8564167725540025,0.5485774818401937,0.14473684210526316,0.1864406779661017,0.16296296296296298,0.5422181041361027,0.530638852672751,0.10942578397300504,0.4470726685609353,0.08579623138049075,3.7380988597869873,0.46555018424987793,663.0,65.0,48.0,11.0,0.8558333333333336,Census,RandomForest,tuned,spatial_cv,1.0,True
